id,Age,Sex,Ethnicity,AMAS1,AMAS2,AMAS3,AMAS4,AMAS5,AMAS6,AMAS7,AMAS8,AMAS9,BIS_1,BIS_2,BIS_3,BIS_4,BIS_5,BIS_6,BIS_7,BIS_8,BIS_9,BIS_10,BIS_11,BIS_12,BIS_13,BIS_14,BIS_15,BIS_16,BIS_17,BIS_18,BIS_19,BIS_20,BIS_21,BIS_22,BIS_23,BIS_24,BIS_25,BIS_26,BIS_27,BIS_28,BIS_29,BIS_30,Tuckman1,Tuckman2,Tuckman3,Tuckman4,Tuckman5,Tuckman6,Tuckman7,Tuckman8,Tuckman9
601,21,2,2,1,3,1,3,3,1,5,5,1,3,2,2,1,1,3,2,2,3,3,1,3,3,1,3,1,1,1,2,2,3,1,1,1,1,3,1,1,3,4,,,,,,,,,
602,20,1,2,1,4,3,3,4,3,2,4,3,3,1,3,3,1,3,3,4,3,3,1,3,3,1,3,1,1,1,1,3,1,2,1,1,1,3,1,1,4,3,3,2,1,2,3,2,2,2,2
603,18,1,2,3,3,3,3,3,4,3,3,2,2,3,3,3,2,3,3,3,3,3,3,2,3,2,3,2,2,2,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3
604,21,2,2,3,4,1,3,4,2,2,3,2,2,2,2,2,3,4,2,4,3,2,2,3,2,1,2,2,1,2,1,3,2,2,3,2,1,4,2,2,4,4,3,2,2,2,3,2,2,2,2
605,21,1,2,1,2,1,2,3,1,1,3,1,3,2,2,2,1,2,2,3,3,2,2,3,2,1,2,1,1,1,1,2,1,2,1,1,2,2,2,2,2,3,3,3,1,2,7,2,2,1,3
606,21,1,2,2,3,1,2,3,1,2,1,2,3,2,1,4,2,1,2,4,2,3,2,2,1,2,1,1,1,2,2,2,1,2,3,2,1,2,2,2,3,2,1,2,2,2,2,3,2,1,2
607,19,2,2,3,4,1,3,4,2,2,4,3,3,1,2,2,1,3,4,2,2,2,1,3,3,2,3,1,1,2,1,3,1,2,4,2,1,2,2,2,1,2,3,3,2,1,3,3,2,2,3
608,19,1,2,3,4,3,4,4,3,2,3,3,3,2,2,2,1,2,2,3,2,2,1,2,2,1,2,2,1,1,1,2,1,1,1,2,2,1,3,1,2,1,2,2,1,1,2,2,2,2,2
609,20,1,2,3,4,3,4,4,4,4,3,3,3,1,2,2,2,2,4,2,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,4,3,3,2,2,2,2,3,3,2,1,2
610,17,1,2,1,2,1,2,3,1,1,3,1,3,1,1,2,1,2,3,2,2,4,1,3,3,2,3,1,1,1,1,1,1,2,1,2,1,3,2,1,1,3,2,2,2,2,7,7,2,2,2
611,22,1,2,1,2,1,1,2,1,2,4,2,4,3,1,4,2,1,3,2,3,2,1,3,3,2,3,1,1,2,1,2,1,2,1,2,1,1,1,1,3,4,2,2,2,2,3,7,3,1,3
612,20,1,2,1,1,1,1,1,1,1,2,1,4,2,3,3,1,2,3,4,3,3,2,3,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,1,4,3,3,3,2,7,3,3,1,7
613,19,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
614,18,2,2,1,2,1,2,2,1,1,1,1,3,2,2,3,2,2,3,4,3,3,1,3,4,1,3,2,1,1,2,3,1,2,2,2,1,3,2,1,3,3,3,3,2,2,3,3,3,2,3
615,19,1,10,1,1,1,3,5,1,1,3,3,4,3,1,4,2,4,4,3,2,4,4,3,4,2,4,1,1,1,2,2,4,4,1,2,2,3,3,3,4,4,3,7,3,3,2,7,3,1,7
616,18,2,2,1,1,1,1,2,1,1,2,1,2,3,3,2,2,2,1,4,3,3,4,4,4,3,4,1,2,2,3,3,1,2,1,1,1,2,3,3,3,2,3,3,2,7,7,2,3,2,2
617,20,1,2,5,5,3,5,5,3,2,5,2,4,1,2,2,3,2,3,4,2,2,2,3,4,1,3,2,2,2,2,3,1,2,1,1,2,2,3,2,2,3,3,3,3,3,3,3,2,2,3
618,36,2,2,1,2,1,1,3,1,1,2,1,3,2,3,3,1,1,2,3,2,3,1,3,3,1,1,2,1,1,1,3,1,1,1,1,1,1,2,1,3,3,3,2,2,1,7,3,3,1,3
619,18,1,2,1,1,1,1,1,1,2,1,1,2,3,1,2,3,3,3,3,1,2,3,2,2,4,3,2,3,1,2,2,1,4,1,1,1,2,2,4,3,4,3,3,1,3,3,3,2,7,2
