"id","BIS_1","BIS_2","BIS_3","BIS_4","BIS_5","BIS_6","BIS_7","BIS_8","BIS_9","BIS_10","BIS_11","BIS_12","BIS_13","BIS_14","BIS_15","BIS_16","BIS_17","BIS_18","BIS_19","BIS_20","BIS_21","BIS_22","BIS_23","BIS_24","BIS_25","BIS_26","BIS_27","BIS_28","BIS_29","BIS_30","selfcntrl01","motor02","motor03","motor04","attention05","coginstable06","selfcntrl07","selfcntrl08","attention09","cogcomplex10","attention11","selfcntrl12","selfcntrl13","selfcntrl14","cogcomplex15","persev16","motor17","cogcomplex18","motor19","attention20","persev21","motor22","persev23","coginstable24","motor25","coginstable26","cogcomplex27","attention28","cogcomplex29","persev30"
601,3,2,2,1,1,3,2,2,3,3,1,3,3,1,3,1,1,1,2,2,3,1,1,1,1,3,1,1,3,4,2,2,2,1,1,3,3,3,2,2,1,2,2,1,2,1,1,1,2,3,3,1,1,1,1,3,1,1,2,1
602,3,1,3,3,1,3,3,4,3,3,1,3,3,1,3,1,1,1,1,3,1,2,1,1,1,3,1,1,4,3,2,1,3,3,1,3,2,1,2,2,1,2,2,1,2,1,1,1,1,2,1,2,1,1,1,3,1,1,1,2
603,2,3,3,3,2,3,3,3,3,3,3,2,3,2,3,2,2,2,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,2,3,3,2,2,2,2,2,2,2,3,1,3,3,3,3,3,3,3,2,2
604,2,2,2,2,3,4,2,4,3,2,2,3,2,1,2,2,1,2,1,3,2,2,3,2,1,4,2,2,4,4,3,2,2,2,3,4,3,1,2,3,2,2,3,1,3,2,1,2,1,2,2,2,3,2,1,4,2,2,1,1
605,3,2,2,2,1,2,2,3,3,2,2,3,2,1,2,1,1,1,1,2,1,2,1,1,2,2,2,2,2,3,2,2,2,2,1,2,3,2,2,3,2,2,3,1,3,1,1,1,1,3,1,2,1,1,2,2,2,2,3,2
606,3,2,1,4,2,1,2,4,2,3,2,2,1,2,1,1,1,2,2,2,1,2,3,2,1,2,2,2,3,2,2,2,1,4,2,1,3,1,3,2,2,3,4,2,4,1,1,2,2,3,1,2,3,2,1,2,2,2,2,3
607,3,1,2,2,1,3,4,2,2,2,1,3,3,2,3,1,1,2,1,3,1,2,4,2,1,2,2,2,1,2,2,1,2,2,1,3,1,3,3,3,1,2,2,2,2,1,1,2,1,2,1,2,4,2,1,2,2,2,4,3
608,3,2,2,2,1,2,2,3,2,2,1,2,2,1,2,2,1,1,1,2,1,1,1,2,2,1,3,1,2,1,2,2,2,2,1,2,3,2,3,3,1,3,3,1,3,2,1,1,1,3,1,1,1,2,2,1,3,1,3,4
609,3,1,2,2,2,2,4,2,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,4,3,3,2,1,2,2,2,2,1,3,3,2,3,2,2,3,2,2,3,3,3,2,3,3,3,2,3,3,3,4,2,2
610,3,1,1,2,1,2,3,2,2,4,1,3,3,2,3,1,1,1,1,1,1,2,1,2,1,3,2,1,1,3,2,1,1,2,1,2,2,3,3,1,1,2,2,2,2,1,1,1,1,4,1,2,1,2,1,3,2,1,4,2
