"id","amas_learn","amas_eval","amas","bis_attention","bis_coginstable","bis_motor","bis_persev","bis_selfcntrl","bis_cogcomplex","bis_ATT","bis_MTR","bis_NPL","bis","tuckman"
601,1.8,3.5,2.55555555555556,1.6,2.33333333333333,1.42857142857143,1.5,2.16666666666667,1.6,1.875,1.45454545454545,1.90909090909091,1.73333333333333,NA
602,2.4,3.75,3,1.4,2.33333333333333,1.71428571428571,1.25,1.66666666666667,1.4,1.75,1.54545454545455,1.54545454545455,1.6,2.66666666666667
603,3,3,3,2.6,3,2.71428571428571,2,2.33333333333333,2.2,2.75,2.45454545454545,2.27272727272727,2.46666666666667,2.55555555555556
604,2,3.5,2.66666666666667,2.2,3.33333333333333,1.57142857142857,2,2.16666666666667,2.2,2.625,1.72727272727273,2.18181818181818,2.13333333333333,2.55555555555556
605,1,2.5,1.66666666666667,2,1.66666666666667,1.71428571428571,1.25,2.16666666666667,2.4,1.875,1.54545454545455,2.27272727272727,1.9,3.44444444444444
606,1.6,2.25,1.88888888888889,2.4,1.66666666666667,1.85714285714286,2,2.5,2.4,2.125,1.90909090909091,2.45454545454545,2.16666666666667,2.44444444444444
607,2.2,3.75,2.88888888888889,1.8,2.33333333333333,1.42857142857143,2.25,2,2.6,2,1.72727272727273,2.27272727272727,2,3
608,2.8,3.75,3.22222222222222,1.8,1.66666666666667,1.57142857142857,2,2.33333333333333,2.6,1.75,1.72727272727273,2.45454545454545,2,2.55555555555556
609,3.4,3.75,3.55555555555556,2.8,2.33333333333333,2.42857142857143,2.5,2.16666666666667,2.4,2.625,2.45454545454545,2.27272727272727,2.43333333333333,2.66666666666667
610,1,2.5,1.66666666666667,2,2.33333333333333,1.28571428571429,1.25,2.16666666666667,2,2.125,1.27272727272727,2.09090909090909,1.8,3.44444444444444
611,1.4,2.25,1.77777777777778,1.8,1.33333333333333,1.85714285714286,1,2,2,1.625,1.54545454545455,2,1.73333333333333,3.33333333333333
612,1,1.25,1.11111111111111,1.8,2,2.14285714285714,1.75,1.83333333333333,2.6,1.875,2,2.18181818181818,2.03333333333333,3.88888888888889
613,1,1,1,2.4,2,2,2.25,2.83333333333333,2.6,2.25,2.09090909090909,2.72727272727273,2.36666666666667,2.33333333333333
614,1,1.75,1.33333333333333,1.6,2.33333333333333,1.85714285714286,1.75,1.5,1.8,1.875,1.81818181818182,1.63636363636364,1.76666666666667,3
615,1.4,3,2.11111111111111,3,3,2.42857142857143,1.75,1.5,1.4,3,2.18181818181818,1.45454545454545,2.13333333333333,4.11111111111111
616,1,1.5,1.22222222222222,2.6,1.66666666666667,2.28571428571429,1.5,2.16666666666667,2,2.25,2,2.09090909090909,2.1,2.66666666666667
617,3,5,3.88888888888889,2.4,1.66666666666667,1.85714285714286,1.5,1.33333333333333,2.6,2.125,1.72727272727273,1.90909090909091,1.9,2.66666666666667
618,1,2,1.44444444444444,1.6,1,1.71428571428571,1.5,2,2.2,1.375,1.63636363636364,2.09090909090909,1.73333333333333,3.55555555555556
619,1.2,1,1.11111111111111,3.4,2,2.28571428571429,1.25,2.83333333333333,2,2.875,1.90909090909091,2.45454545454545,2.36666666666667,2.22222222222222
620,4.8,4.75,4.77777777777778,2.8,1.33333333333333,1.57142857142857,1.25,2.16666666666667,2.2,2.25,1.45454545454545,2.18181818181818,1.93333333333333,1.77777777777778
621,1,3,1.88888888888889,2,1,2.57142857142857,2,2.5,3,1.625,2.36363636363636,2.72727272727273,2.3,2.11111111111111
622,2.4,4.25,3.22222222222222,2.8,2.33333333333333,2.42857142857143,2.25,2.5,2.4,2.625,2.36363636363636,2.45454545454545,2.46666666666667,2.22222222222222
625,1,3.25,2,2.2,1.33333333333333,1.71428571428571,1.25,1.66666666666667,3.2,1.875,1.54545454545455,2.36363636363636,1.93333333333333,3.44444444444444
626,2.8,3,2.88888888888889,2.4,2,2,2.25,2.83333333333333,2.6,2.25,2.09090909090909,2.72727272727273,2.36666666666667,2.22222222222222
627,2.2,4.25,3.11111111111111,1.4,2,1.42857142857143,1.5,2,2,1.625,1.45454545454545,2,1.7,4
628,1.6,3.25,2.33333333333333,1.8,1,1.85714285714286,2,1.83333333333333,2.6,1.5,1.90909090909091,2.18181818181818,1.9,2.77777777777778
629,2.8,3,2.88888888888889,2,2,2.28571428571429,2,2.66666666666667,3,2,2.18181818181818,2.81818181818182,2.36666666666667,3.44444444444444
630,3.6,4.5,4,2.8,1.66666666666667,2.28571428571429,1.5,2.5,2.4,2.375,2,2.45454545454545,2.26666666666667,2.44444444444444
631,3.4,4,3.66666666666667,2.2,3,2.57142857142857,2,2.66666666666667,3,2.5,2.36363636363636,2.81818181818182,2.56666666666667,2.33333333333333
632,3,3,3,2.2,1,1,1.75,3.5,2.8,1.75,1.27272727272727,3.18181818181818,2.1,2.33333333333333
633,1,1.25,1.11111111111111,2.2,1,1.71428571428571,1.25,3.16666666666667,2.8,1.75,1.54545454545455,3,2.13333333333333,2.55555555555556
634,2.8,3.25,3,3.2,2,2.42857142857143,2,2.83333333333333,2.6,2.75,2.27272727272727,2.72727272727273,2.56666666666667,2
635,1,1,1,2.6,3,3,2.75,2.16666666666667,2.4,2.75,2.90909090909091,2.27272727272727,2.63333333333333,2.33333333333333
636,3.2,4,3.55555555555556,2.8,2,2.14285714285714,2,1.83333333333333,2.2,2.5,2.09090909090909,2,2.16666666666667,3
637,2.4,4.25,3.22222222222222,2.4,2.33333333333333,1.57142857142857,1.5,1.5,2.4,2.375,1.54545454545455,1.90909090909091,1.9,2.44444444444444
638,1.2,2.25,1.66666666666667,2.6,2,2.42857142857143,1.75,2,2.4,2.375,2.18181818181818,2.18181818181818,2.23333333333333,2.33333333333333
640,1,3.5,2.11111111111111,2.4,1.66666666666667,1.57142857142857,1.75,2.33333333333333,2.4,2.125,1.63636363636364,2.36363636363636,2.03333333333333,4.22222222222222
641,1.6,2.25,1.88888888888889,2.2,2,2.14285714285714,2,2,2.2,2.125,2.09090909090909,2.09090909090909,2.1,2.77777777777778
642,1.8,3.75,2.66666666666667,2,2.33333333333333,2.28571428571429,1.5,2.33333333333333,2.8,2.125,2,2.54545454545455,2.23333333333333,1.77777777777778
643,1,2.5,1.66666666666667,1.4,1.66666666666667,1.85714285714286,1.5,1.66666666666667,2,1.5,1.72727272727273,1.81818181818182,1.7,3.88888888888889
644,2.6,4.5,3.44444444444444,1.2,1.33333333333333,1.57142857142857,1,1.5,1.4,1.25,1.36363636363636,1.45454545454545,1.36666666666667,4.11111111111111
645,1,2,1.44444444444444,1.8,1.66666666666667,2.14285714285714,1.5,2,3.2,1.75,1.90909090909091,2.54545454545455,2.1,3.88888888888889
646,1.4,2.5,1.88888888888889,1.8,1.66666666666667,1.42857142857143,1.75,2.16666666666667,2.2,1.75,1.54545454545455,2.18181818181818,1.83333333333333,2.66666666666667
647,1.8,5,3.22222222222222,1.8,3,2.28571428571429,2,1.66666666666667,1.2,2.25,2.18181818181818,1.45454545454545,1.93333333333333,2.33333333333333
648,2.8,3.25,3,1.6,1.33333333333333,1.28571428571429,1.5,2.83333333333333,2,1.5,1.36363636363636,2.45454545454545,1.8,2.11111111111111
649,1.4,4.5,2.77777777777778,2.2,2,2,2.25,2.83333333333333,2.6,2.125,2.09090909090909,2.72727272727273,2.33333333333333,5.33333333333333
650,1,2.5,1.66666666666667,1.4,1.66666666666667,1.28571428571429,1.5,2,2,1.5,1.36363636363636,2,1.63333333333333,3.11111111111111
