"id","amascat","stat","value"
602,"hi","amas_learn",2.4
603,"hi","amas_learn",3
604,"hi","amas_learn",2
605,"lo","amas_learn",1
606,"lo","amas_learn",1.6
607,"hi","amas_learn",2.2
608,"hi","amas_learn",2.8
609,"hi","amas_learn",3.4
610,"lo","amas_learn",1
611,"lo","amas_learn",1.4
612,"lo","amas_learn",1
613,"lo","amas_learn",1
614,"lo","amas_learn",1
615,"lo","amas_learn",1.4
616,"lo","amas_learn",1
617,"hi","amas_learn",3
618,"lo","amas_learn",1
619,"lo","amas_learn",1.2
620,"hi","amas_learn",4.8
621,"lo","amas_learn",1
622,"hi","amas_learn",2.4
625,"lo","amas_learn",1
626,"hi","amas_learn",2.8
627,"hi","amas_learn",2.2
628,"hi","amas_learn",1.6
629,"hi","amas_learn",2.8
630,"hi","amas_learn",3.6
631,"hi","amas_learn",3.4
632,"hi","amas_learn",3
633,"lo","amas_learn",1
634,"hi","amas_learn",2.8
635,"lo","amas_learn",1
636,"hi","amas_learn",3.2
637,"hi","amas_learn",2.4
638,"lo","amas_learn",1.2
640,"lo","amas_learn",1
641,"lo","amas_learn",1.6
642,"hi","amas_learn",1.8
643,"lo","amas_learn",1
644,"hi","amas_learn",2.6
645,"lo","amas_learn",1
646,"lo","amas_learn",1.4
647,"hi","amas_learn",1.8
648,"hi","amas_learn",2.8
649,"hi","amas_learn",1.4
650,"lo","amas_learn",1
651,"lo","amas_learn",1
652,"hi","amas_learn",1.6
653,"lo","amas_learn",1
654,"lo","amas_learn",1
655,"lo","amas_learn",1
602,"hi","amas_eval",3.75
603,"hi","amas_eval",3
604,"hi","amas_eval",3.5
605,"lo","amas_eval",2.5
606,"lo","amas_eval",2.25
607,"hi","amas_eval",3.75
608,"hi","amas_eval",3.75
609,"hi","amas_eval",3.75
610,"lo","amas_eval",2.5
611,"lo","amas_eval",2.25
612,"lo","amas_eval",1.25
613,"lo","amas_eval",1
614,"lo","amas_eval",1.75
615,"lo","amas_eval",3
616,"lo","amas_eval",1.5
617,"hi","amas_eval",5
618,"lo","amas_eval",2
619,"lo","amas_eval",1
620,"hi","amas_eval",4.75
621,"lo","amas_eval",3
622,"hi","amas_eval",4.25
625,"lo","amas_eval",3.25
626,"hi","amas_eval",3
627,"hi","amas_eval",4.25
628,"hi","amas_eval",3.25
629,"hi","amas_eval",3
630,"hi","amas_eval",4.5
631,"hi","amas_eval",4
632,"hi","amas_eval",3
633,"lo","amas_eval",1.25
634,"hi","amas_eval",3.25
635,"lo","amas_eval",1
636,"hi","amas_eval",4
637,"hi","amas_eval",4.25
638,"lo","amas_eval",2.25
640,"lo","amas_eval",3.5
641,"lo","amas_eval",2.25
642,"hi","amas_eval",3.75
643,"lo","amas_eval",2.5
644,"hi","amas_eval",4.5
645,"lo","amas_eval",2
646,"lo","amas_eval",2.5
647,"hi","amas_eval",5
648,"hi","amas_eval",3.25
649,"hi","amas_eval",4.5
650,"lo","amas_eval",2.5
651,"lo","amas_eval",1.5
652,"hi","amas_eval",3.5
653,"lo","amas_eval",1.25
