"id","Tuckman1","Tuckman2","Tuckman3","Tuckman4","Tuckman5","Tuckman6","Tuckman7","Tuckman8","Tuckman9","tuckman01","tuckman02","tuckman03","tuckman04","tuckman05","tuckman06","tuckman07","tuckman08","tuckman09"
601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
602,3,2,1,2,3,2,2,2,2,3,2,4,3,3,2,2,3,2
603,3,3,3,2,2,2,2,2,3,3,3,2,3,2,2,2,3,3
604,3,2,2,2,3,2,2,2,2,3,2,3,3,3,2,2,3,2
605,3,3,1,2,7,2,2,1,3,3,3,4,3,7,2,2,4,3
606,1,2,2,2,2,3,2,1,2,1,2,3,3,2,3,2,4,2
607,3,3,2,1,3,3,2,2,3,3,3,3,4,3,3,2,3,3
608,2,2,1,1,2,2,2,2,2,2,2,4,4,2,2,2,3,2
609,2,2,2,2,3,3,2,1,2,2,2,3,3,3,3,2,4,2
610,2,2,2,2,7,7,2,2,2,2,2,3,3,7,7,2,3,2
611,2,2,2,2,3,7,3,1,3,2,2,3,3,3,7,3,4,3
612,3,3,3,2,7,3,3,1,7,3,3,2,3,7,3,3,4,7
613,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,3,2
614,3,3,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3
615,3,7,3,3,2,7,3,1,7,3,7,2,2,2,7,3,4,7
616,3,3,2,7,7,2,3,2,2,3,3,3,-2,7,2,3,3,2
617,3,3,3,3,3,3,2,2,3,3,3,2,2,3,3,2,3,3
618,3,2,2,1,7,3,3,1,3,3,2,3,4,7,3,3,4,3
619,3,3,1,3,3,3,2,7,2,3,3,4,2,3,3,2,-2,2
620,1,2,3,3,2,2,1,3,2,1,2,2,2,2,2,1,2,2
621,2,1,3,3,2,2,3,2,2,2,1,2,2,2,2,3,3,2
622,1,3,2,2,3,2,1,3,2,1,3,3,3,3,2,1,2,2
625,2,2,1,1,7,3,2,1,3,2,2,4,4,7,3,2,4,3
626,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,3,2
627,7,7,7,7,7,7,7,7,7,7,7,-2,-2,7,7,7,-2,7
628,3,2,2,2,3,3,3,2,2,3,2,3,3,3,3,3,3,2
629,3,7,2,2,3,3,3,2,3,3,7,3,3,3,3,3,3,3
630,3,3,2,3,2,2,2,2,2,3,3,3,2,2,2,2,3,2
631,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,3,2
632,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,3,2
633,2,2,1,2,2,2,2,1,2,2,2,4,3,2,2,2,4,2
634,2,2,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2
635,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,3,2
636,2,2,2,3,3,7,2,2,3,2,2,3,2,3,7,2,3,3
637,2,3,2,3,3,2,2,2,2,2,3,3,2,3,2,2,3,2
638,2,2,2,3,3,3,2,3,2,2,2,3,2,3,3,2,2,2
640,7,7,2,3,3,7,3,2,3,7,7,3,2,3,7,3,3,3
641,3,2,3,2,3,3,3,2,3,3,2,2,3,3,3,3,3,3
642,2,2,7,2,3,2,1,2,2,2,2,-2,3,3,2,1,3,2
643,3,3,2,2,3,7,7,2,3,3,3,3,3,3,7,7,3,3
644,7,3,2,1,3,7,3,1,3,7,3,3,4,3,7,3,4,3
645,2,2,2,1,7,3,3,1,7,2,2,3,4,7,3,3,4,7
646,2,3,1,1,3,2,2,3,2,2,3,4,4,3,2,2,2,2
647,2,7,7,7,7,2,1,2,3,2,7,-2,-2,7,2,1,3,3
648,2,2,3,3,2,2,2,1,1,2,2,2,2,2,2,2,4,1
649,7,7,7,1,7,7,7,1,7,7,7,-2,4,7,7,7,4,7
650,3,3,2,1,2,3,3,1,3,3,3,3,4,2,3,3,4,3
651,7,7,1,2,7,7,3,1,7,7,7,4,3,7,7,3,4,7
652,3,3,2,2,7,3,2,1,7,3,3,3,3,7,3,2,4,7
653,7,7,2,7,2,2,1,7,1,7,7,3,-2,2,2,1,-2,1
654,2,2,2,3,7,2,2,2,2,2,2,3,2,7,2,2,3,2
655,3,3,3,1,3,3,3,2,3,3,3,2,4,3,3,3,3,3
656,1,1,2,3,1,1,1,7,2,1,1,3,2,1,1,1,-2,2
657,7,1,7,2,2,2,1,1,7,7,1,-2,3,2,2,1,4,7
