"stat","ave","st_dev","se","N"
"amas",2.35076252723312,0.931313303164761,0.130409947041196,51
"amas_eval",2.97058823529412,1.10752771841558,0.155084900660632,51
"amas_learn",1.85490196078431,0.940704783763789,0.131725017365431,51
"bis",2.0640522875817,0.299395178262584,0.0419237105375113,51
"bis_ATT",2.09313725490196,0.437209287166128,0.0612215457370812,51
"bis_attention",2.16862745098039,0.523637353930535,0.0733238957962054,51
"bis_cogcomplex",2.29411764705882,0.460178993308422,0.0644379479417842,51
"bis_coginstable",1.96732026143791,0.597234002011808,0.083629487852148,51
"bis_motor",1.96078431372549,0.432438204973206,0.0605534605996802,51
"bis_MTR",1.87344028520499,0.36001764482587,0.0504125537948335,51
"bis_NPL",2.23351158645276,0.423388496336416,0.059286247922645,51
"bis_persev",1.72058823529412,0.392578205022672,0.0549719441916713,51
"bis_selfcntrl",2.18300653594771,0.515595558511152,0.0721978191996464,51
"easymathcorrect",6.64705882352941,1.42581246188641,0.199653679393849,51
"easymathtime",3149.82156862745,714.938659786097,100.111436660015,51
"easyverbalcorrect",7.01960784313725,1.33401943131922,0.186800084138268,51
"easyverbaltime",2236.12156862745,461.311879399924,64.5965837249245,51
"hardmathcorrect",3.74509803921569,1.48112305032231,0.207398710936115,51
"hardmathtime",4082.22696078431,577.225678030117,80.8277620935137,51
"hardverbalcorrect",5,1.4142135623731,0.198029508595335,51
"hardverbaltime",3393.73921568627,616.814341571978,86.3712838046091,51
"mathcorrectdif",2.90196078431373,1.92098830772896,0.268992166896353,51
"mathtimedif",-932.405392156863,987.639275296322,138.29716074013,51
"tuckman",2.94771241830065,0.823228495702456,0.115275046713649,51
"verbalcorrectdif",2.01960784313725,1.3489284054898,0.188887758098703,51
"verbaltimedif",-1157.61764705882,641.487890075567,89.8262716617966,51
