"id","amas_learn","amas_eval","amas","bis_ATT","bis_MTR","bis_NPL","bis","easymathtime","hardmathtime","easyverbaltime","hardverbaltime","easymathcorrect","hardmathcorrect","easyverbalcorrect","hardverbalcorrect","amascat","biscat","mathcorrectdif","verbalcorrectdif","mathtimediff","verbaltimediff","easycorrectdiff","hardcorrectdiff","easytimediff","hardtimediff"
602,2.4,3.75,3,1.75,1.54545454545455,1.54545454545455,1.6,3498.1,4786.9,2350.8,3465.8875,8,2,8,5,"hi","lo",6,3,1288.8,1115.0875,0,3,1147.3,1321.0125
603,3,3,3,2.75,2.45454545454545,2.27272727272727,2.46666666666667,2817.9625,3595.125,1771.3875,2898.875,6,4,7,7,"hi","hi",2,0,777.1625,1127.4875,1,3,1046.575,696.25
604,2,3.5,2.66666666666667,2.625,1.72727272727273,2.18181818181818,2.13333333333333,3428.0875,5090.1,2820.7625,4710.25,6,0,4,3,"hi","hi",6,1,1662.0125,1889.4875,-2,3,607.325,379.85
605,1,2.5,1.66666666666667,1.875,1.54545454545455,2.27272727272727,1.9,3666.1125,4436.7625,2400.8,3837.1125,7,4,8,6,"lo","lo",3,2,770.65,1436.3125,1,2,1265.3125,599.65
606,1.6,2.25,1.88888888888889,2.125,1.90909090909091,2.45454545454545,2.16666666666667,2180.8375,4623.45,1793.3875,3376,8,6,8,7,"lo","hi",2,1,2442.6125,1582.6125,0,1,387.45,1247.45
607,2.2,3.75,2.88888888888889,2,1.72727272727273,2.27272727272727,2,2565.7125,4251.2625,2110.7,2813.975,8,4,7,3,"hi","lo",4,4,1685.55,703.275,-1,-1,455.0125,1437.2875
608,2.8,3.75,3.22222222222222,1.75,1.72727272727273,2.45454545454545,2,4269.8125,3632.1,2115.15,3658.7375,6,2,5,4,"hi","lo",4,1,-637.7125,1543.5875,-1,2,2154.6625,-26.6375000000003
609,3.4,3.75,3.55555555555556,2.625,2.45454545454545,2.27272727272727,2.43333333333333,4126.3375,3087.225,2375.3875,4803.2125,6,4,5,2,"hi","hi",2,3,-1039.1125,2427.825,-1,-2,1750.95,-1715.9875
610,1,2.5,1.66666666666667,2.125,1.27272727272727,2.09090909090909,1.8,2533.425,4369.35,2296.6625,3723.5125,8,6,5,5,"lo","lo",2,0,1835.925,1426.85,-3,-1,236.7625,645.837500000001
611,1.4,2.25,1.77777777777778,1.625,1.54545454545455,2,1.73333333333333,3475.4375,4041.575,2867.5,3253.6,6,4,5,5,"lo","lo",2,0,566.1375,386.1,-1,1,607.9375,787.975
612,1,1.25,1.11111111111111,1.875,2,2.18181818181818,2.03333333333333,2580.85,4568.375,1898.6625,3205.825,8,5,7,5,"lo","lo",3,2,1987.525,1307.1625,-1,0,682.1875,1362.55
613,1,1,1,2.25,2.09090909090909,2.72727272727273,2.36666666666667,2652.425,3955.35,2228.1875,2369.7625,8,4,7,4,"lo","hi",4,3,1302.925,141.575,-1,0,424.2375,1585.5875
614,1,1.75,1.33333333333333,1.875,1.81818181818182,1.63636363636364,1.76666666666667,2425.7,4622.9,1578.45,3915.8375,8,3,7,6,"lo","lo",5,1,2197.2,2337.3875,-1,3,847.25,707.0625
615,1.4,3,2.11111111111111,3,2.18181818181818,1.45454545454545,2.13333333333333,3005.225,4232.8875,2100.425,3673.6875,5,1,8,6,"lo","hi",4,2,1227.6625,1573.2625,3,5,904.8,559.2
616,1,1.5,1.22222222222222,2.25,2,2.09090909090909,2.1,2030.4125,3856.325,1825.2125,3046.45,8,5,8,4,"lo","lo",3,4,1825.9125,1221.2375,0,-1,205.2,809.875
617,3,5,3.88888888888889,2.125,1.72727272727273,1.90909090909091,1.9,4876.525,3956.5,3673.375,3381.0125,4,2,5,4,"hi","lo",2,1,-920.025,-292.3625,1,2,1203.15,575.4875
618,1,2,1.44444444444444,1.375,1.63636363636364,2.09090909090909,1.73333333333333,2257.1125,4017.05,1568.2875,3411.8875,7,6,8,5,"lo","lo",1,3,1759.9375,1843.6,1,-1,688.825,605.1625
619,1.2,1,1.11111111111111,2.875,1.90909090909091,2.45454545454545,2.36666666666667,2230.8125,4080.0125,1968.575,3295.3125,8,5,8,5,"lo","hi",3,3,1849.2,1326.7375,0,0,262.2375,784.7
620,4.8,4.75,4.77777777777778,2.25,1.45454545454545,2.18181818181818,1.93333333333333,3475.0375,3368.9125,2225.6625,3406.2375,6,4,8,5,"hi","lo",2,3,-106.125,1180.575,2,1,1249.375,-37.3250000000003
621,1,3,1.88888888888889,1.625,2.36363636363636,2.72727272727273,2.3,2494.5375,4802.5625,1746.2375,3036.225,7,4,7,6,"lo","hi",3,1,2308.025,1289.9875,0,2,748.3,1766.3375
622,2.4,4.25,3.22222222222222,2.625,2.36363636363636,2.45454545454545,2.46666666666667,3854.2,2984.0125,1480.6875,1541.1,5,4,3,3,"hi","hi",1,0,-870.1875,60.4124999999999,-2,-1,2373.5125,1442.9125
625,1,3.25,2,1.875,1.54545454545455,2.36363636363636,1.93333333333333,3669.8625,4608.8375,2944.6625,3845.15,5,2,4,4,"lo","lo",3,0,938.974999999999,900.4875,-1,2,725.2,763.6875
626,2.8,3,2.88888888888889,2.25,2.09090909090909,2.72727272727273,2.36666666666667,4207.3375,2747.3125,2645.65,2939.425,5,4,7,4,"hi","hi",1,3,-1460.025,293.775,2,0,1561.6875,-192.1125
627,2.2,4.25,3.11111111111111,1.625,1.45454545454545,2,1.7,3274.7625,4507.7375,2368.275,3742.3125,7,5,7,3,"hi","lo",2,4,1232.975,1374.0375,0,-2,906.4875,765.425
628,1.6,3.25,2.33333333333333,1.5,1.90909090909091,2.18181818181818,1.9,2242.175,3820.725,1743.6625,2164.7625,7,3,6,6,"hi","lo",4,0,1578.55,421.1,-1,3,498.5125,1655.9625
629,2.8,3,2.88888888888889,2,2.18181818181818,2.81818181818182,2.36666666666667,3629.9,4447.5,2011.525,3388.15,7,4,8,7,"hi","hi",3,1,817.6,1376.625,1,3,1618.375,1059.35
630,3.6,4.5,4,2.375,2,2.45454545454545,2.26666666666667,3837.825,4302.45,2602.3875,3649.9,7,2,8,5,"hi","hi",5,3,464.625,1047.5125,1,3,1235.4375,652.55
631,3.4,4,3.66666666666667,2.5,2.36363636363636,2.81818181818182,2.56666666666667,3683.55,2401.125,1875.3125,2418.45,1,5,6,4,"hi","hi",-4,2,-1282.425,543.1375,5,-1,1808.2375,-17.3249999999998
632,3,3,3,1.75,1.27272727272727,3.18181818181818,2.1,2478.4625,3371.8125,3230.35,4073.025,6,4,5,3,"hi","lo",2,2,893.35,842.675,-1,-1,-751.8875,-701.2125
633,1,1.25,1.11111111111111,1.75,1.54545454545455,3,2.13333333333333,3790.0875,4371.8125,2328.2125,2625.4625,4,5,6,3,"lo","hi",-1,3,581.725,297.25,2,-2,1461.875,1746.35
634,2.8,3.25,3,2.75,2.27272727272727,2.72727272727273,2.56666666666667,3888.6375,4764.7125,1790.15,4560.4375,7,1,8,3,"hi","hi",6,5,876.075,2770.2875,1,2,2098.4875,204.275
635,1,1,1,2.75,2.90909090909091,2.27272727272727,2.63333333333333,4047.5,4072.1625,2033,4068.9125,7,4,8,6,"lo","hi",3,2,24.6624999999999,2035.9125,1,2,2014.5,3.25
636,3.2,4,3.55555555555556,2.5,2.09090909090909,2,2.16666666666667,3804.725,3735.975,1775.675,3610.6625,6,3,8,7,"hi","hi",3,1,-68.75,1834.9875,2,4,2029.05,125.3125
637,2.4,4.25,3.22222222222222,2.375,1.54545454545455,1.90909090909091,1.9,2841.5125,4412.0375,2483.6125,3934.925,7,5,7,6,"hi","lo",2,1,1570.525,1451.3125,0,1,357.9,477.1125
638,1.2,2.25,1.66666666666667,2.375,2.18181818181818,2.18181818181818,2.23333333333333,2671.05,4099.0625,1619.625,2519.5875,8,4,8,5,"lo","hi",4,3,1428.0125,899.9625,0,1,1051.425,1579.475
640,1,3.5,2.11111111111111,2.125,1.63636363636364,2.36363636363636,2.03333333333333,3725.575,4205.1875,1931.2,3587.9125,6,4,7,7,"lo","lo",2,0,479.6125,1656.7125,1,3,1794.375,617.275
641,1.6,2.25,1.88888888888889,2.125,2.09090909090909,2.09090909090909,2.1,2363.5625,3135.5875,1853.675,3588.7375,8,4,8,7,"lo","lo",4,1,772.025,1735.0625,0,3,509.8875,-453.15
642,1.8,3.75,2.66666666666667,2.125,2,2.54545454545455,2.23333333333333,3650.55,3853.25,2458.325,4151.7625,8,5,8,5,"hi","hi",3,3,202.7,1693.4375,0,0,1192.225,-298.5125
643,1,2.5,1.66666666666667,1.5,1.72727272727273,1.81818181818182,1.7,3002.8125,4973.125,2476.775,2959.1,8,4,8,7,"lo","lo",4,1,1970.3125,482.325,0,3,526.0375,2014.025
644,2.6,4.5,3.44444444444444,1.25,1.36363636363636,1.45454545454545,1.36666666666667,3781.55,4075.6875,2848.6875,3361.8,7,5,8,3,"hi","lo",2,5,294.1375,513.1125,1,-2,932.8625,713.8875
645,1,2,1.44444444444444,1.75,1.90909090909091,2.54545454545455,2.1,3042.225,4178.7875,3186.425,3858.9,6,3,8,4,"lo","lo",3,4,1136.5625,672.475,2,1,-144.2,319.8875
646,1.4,2.5,1.88888888888889,1.75,1.54545454545455,2.18181818181818,1.83333333333333,2382.7875,4237.775,2025.4875,3215.3125,8,0,8,6,"lo","lo",8,2,1854.9875,1189.825,0,6,357.3,1022.4625
647,1.8,5,3.22222222222222,2.25,2.18181818181818,1.45454545454545,1.93333333333333,2869.0125,4206.2875,2128.525,3606.3125,8,3,8,7,"hi","lo",5,1,1337.275,1477.7875,0,4,740.4875,599.975
648,2.8,3.25,3,1.5,1.36363636363636,2.45454545454545,1.8,2314.9375,4795.4625,2424.7875,3096.3375,7,5,8,7,"hi","lo",2,1,2480.525,671.55,1,2,-109.85,1699.125
649,1.4,4.5,2.77777777777778,2.125,2.09090909090909,2.72727272727273,2.33333333333333,4271.9375,4021.4625,2332.9875,3429.2125,4,4,8,6,"hi","hi",0,2,-250.475,1096.225,4,2,1938.95,592.25
650,1,2.5,1.66666666666667,1.5,1.36363636363636,2,1.63333333333333,2634.5125,4289.825,2558.45,2548.2,6,4,7,6,"lo","lo",2,1,1655.3125,-10.25,1,2,76.0625,1741.625
651,1,1.5,1.22222222222222,1.5,1.81818181818182,1.18181818181818,1.5,2226.8625,3393.05,2569.9,3563.15,8,3,8,6,"lo","lo",5,2,1166.1875,993.25,0,3,-343.0375,-170.1
652,1.6,3.5,2.44444444444444,2.25,1.72727272727273,2.27272727272727,2.06666666666667,2815.15,3828.65,2025.25,3308.625,7,5,8,5,"hi","lo",2,3,1013.5,1283.375,1,0,789.9,520.025
653,1,1.25,1.11111111111111,2.875,2.27272727272727,2.54545454545455,2.53333333333333,2098.6125,3968.6125,2114.5625,3146.8875,7,6,8,5,"lo","hi",1,3,1870,1032.325,1,-1,-15.9499999999998,821.725
654,1,2.75,1.77777777777778,2.375,2.09090909090909,2.36363636363636,2.26666666666667,3475.85,4975.0125,1973.3,3669.5375,6,1,6,3,"lo","hi",5,3,1499.1625,1696.2375,0,2,1502.55,1305.475
655,1,2.5,1.66666666666667,2,1.54545454545455,1.54545454545455,1.66666666666667,3472.9125,4033.8125,2485.4625,3623.25,8,5,8,5,"lo","lo",3,3,560.9,1137.7875,0,0,987.45,410.5625
