"measure","mean","median","stddev","sterr","N"
"amas",2.35076252723312,2.11111111111111,0.931313303164761,0.130409947041196,51
"amas_eval",2.97058823529412,3,1.10752771841558,0.155084900660632,51
"amas_learn",1.85490196078431,1.6,0.940704783763789,0.131725017365431,51
"bis",2.0640522875817,2.1,0.299395178262584,0.0419237105375113,51
"bis_ATT",2.09313725490196,2.125,0.437209287166128,0.0612215457370812,51
"bis_MTR",1.87344028520499,1.90909090909091,0.36001764482587,0.0504125537948335,51
"bis_NPL",2.23351158645276,2.27272727272727,0.423388496336416,0.059286247922645,51
"easycorrectdiff",0.372549019607843,0,1.44167658389426,0.201875100803667,51
"easymathcorrect",6.64705882352941,7,1.42581246188641,0.199653679393849,51
"easymathtime",3149.82156862745,3042.225,714.938659786097,100.111436660015,51
"easytimediff",913.7,847.25,703.229911555424,98.471883964384,51
"easyverbalcorrect",7.01960784313725,8,1.33401943131922,0.186800084138268,51
"easyverbaltime",2236.12156862745,2128.525,461.311879399924,64.5965837249245,51
"hardcorrectdiff",1.25490196078431,2,1.92710287483468,0.269848377550412,51
"hardmathcorrect",3.74509803921569,4,1.48112305032231,0.207398710936115,51
"hardmathtime",4082.22696078431,4099.0625,577.225678030117,80.8277620935137,51
"hardtimediff",688.487745098039,652.55,723.951217212226,101.373447127012,51
"hardverbalcorrect",5,5,1.4142135623731,0.198029508595335,51
"hardverbaltime",3393.73921568627,3411.8875,616.814341571978,86.3712838046091,51
"mathcorrectdif",2.90196078431373,3,1.92098830772896,0.268992166896353,51
"mathtimediff",932.405392156863,1136.5625,987.639275296322,138.29716074013,51
"verbalcorrectdif",2.01960784313725,2,1.3489284054898,0.188887758098703,51
"verbaltimediff",1157.61764705882,1189.825,641.487890075567,89.8262716617966,51
