"measure","amascat","mean","median","stddev","sterr","N"
"amas","hi",3.17777777777778,3,0.528021386273455,0.105604277254691,25
"amas","lo",1.55555555555556,1.66666666666667,0.35416394334465,0.0694572637740516,26
"amas_eval","hi",3.86,3.75,0.629483915600708,0.125896783120142,25
"amas_eval","lo",2.11538461538462,2.25,0.721909860130644,0.141578171686969,26
"amas_learn","hi",2.632,2.8,0.754276695472778,0.150855339094556,25
"amas_learn","lo",1.10769230769231,1,0.197834429608351,0.0387985237320569,26
"bis","hi",2.10266666666667,2.1,0.309408036956595,0.061881607391319,25
"bis","lo",2.02692307692308,2.06666666666667,0.290596204115184,0.0569906044368968,26
"bis_ATT","hi",2.145,2.25,0.420317340430616,0.0840634680861233,25
"bis_ATT","lo",2.04326923076923,1.9375,0.455442515160129,0.0893196258508184,26
"bis_MTR","hi",1.88363636363636,1.90909090909091,0.366954557653832,0.0733909115307664,25
"bis_MTR","lo",1.86363636363636,1.86363636363637,0.360211141021071,0.0706432168107677,26
"bis_NPL","hi",2.29090909090909,2.27272727272727,0.435194139889245,0.0870388279778491,25
"bis_NPL","lo",2.17832167832168,2.18181818181818,0.412595709291951,0.0809166758809353,26
"easycorrectdiff","hi",0.56,1,1.66032125405497,0.332064250810994,25
"easycorrectdiff","lo",0.192307692307692,0,1.20064085451831,0.235465044077138,26
"easymathcorrect","hi",6.24,7,1.56204993518133,0.312409987036266,25
"easymathcorrect","lo",7.03846153846154,7.5,1.18256565926021,0.231920206641251,26
"easymathtime","hi",3460.152,3629.9,686.101092780111,137.220218556022,25
"easymathtime","lo",2851.42692307692,2643.46875,617.627183397196,121.126656164141,26
"easytimediff","hi",1153.389,1192.225,748.726358891523,149.745271778305,25
"easytimediff","lo",683.229807692308,645.0625,581.554052765916,114.052133202399,26
"easyverbalcorrect","hi",6.8,7,1.5,0.3,25
"easyverbalcorrect","lo",7.23076923076923,8,1.14219761189357,0.224003381208631,26
"easyverbaltime","hi",2306.763,2332.9875,494.181730243288,98.8363460486576,25
"easyverbaltime","lo",2168.19711538462,2066.7125,425.889479227118,83.5237986620364,26
"hardcorrectdiff","hi",1.12,2,1.96468827043885,0.39293765408777,25
"hardcorrectdiff","lo",1.38461538461538,1.5,1.91993589636577,0.376530407708321,26
"hardmathcorrect","hi",3.56,4,1.38684293751431,0.277368587502863,25
"hardmathcorrect","lo",3.92307692307692,4,1.57284651312395,0.308460579319437,26
"hardmathtime","hi",3921.773,3956.5,675.187890764027,135.037578152805,25
"hardmathtime","lo",4236.50961538462,4219.0375,422.178504771792,82.7960166942613,26
"hardtimediff","hi",477.1575,575.4875,770.953626638518,154.190725327704,25
"hardtimediff","lo",891.689903846154,786.3375,624.510032465644,122.476493922184,26
"hardverbalcorrect","hi",4.68,5,1.6,0.32,25
"hardverbalcorrect","lo",5.30769230769231,5,1.15824801382884,0.227151124003591,26
"hardverbaltime","hi",3444.6155,3429.2125,749.432531876202,149.88650637524,25
"hardverbaltime","lo",3344.81971153846,3393.94375,465.466937590269,91.2855768348099,26
"mathcorrectdif","hi",2.68,2,2.1548395145192,0.43096790290384,25
"mathcorrectdif","lo",3.11538461538462,3,1.68111684488433,0.329694138334413,26
"mathtimediff","hi",461.621,777.1625,1070.64505014865,214.129010029731,25
"mathtimediff","lo",1385.08269230769,1463.5875,644.733847607648,126.442710385583,26
"verbalcorrectdif","hi",2.12,2,1.48099065943487,0.296198131886974,25
"verbalcorrectdif","lo",1.92307692307692,2,1.23038455526967,0.241298263713202,26
"verbaltimediff","hi",1137.8525,1127.4875,703.658765132217,140.731753026443,25
"verbaltimediff","lo",1176.62259615385,1255.6125,588.99651793346,115.511720706958,26
