"measure","biscat","mean","median","stddev","sterr","N"
"amas","hi",2.38888888888889,2.66666666666667,0.961792124999347,0.205054770035046,22
"amas","lo",2.32183908045977,2,0.923600436785773,0.171508295449407,29
"amas_eval","hi",2.875,3,1.1643258830348,0.248235112334398,22
"amas_eval","lo",3.04310344827586,3,1.07750738627987,0.200088098483512,29
"amas_learn","hi",2,1.7,0.956182887467515,0.20385887657505,22
"amas_learn","lo",1.7448275862069,1.4,0.930278839494817,0.172748443698945,29
"bis","hi",2.34090909090909,2.35,0.153247670405943,0.0326725131103756,22
"bis","lo",1.85402298850575,1.9,0.191156420845422,0.0354968562136056,29
"bis_ATT","hi",2.42045454545455,2.4375,0.365037209750136,0.0778261946151821,22
"bis_ATT","lo",1.8448275862069,1.875,0.305557110510051,0.0567405309685666,29
"bis_MTR","hi",2.16115702479339,2.13636363636363,0.280455886505058,0.0597933959090262,22
"bis_MTR","lo",1.6551724137931,1.63636363636364,0.240987870413511,0.0447503240930045,29
"bis_NPL","hi",2.46280991735537,2.45454545454545,0.338886166510378,0.0722507734630193,22
"bis_NPL","lo",2.05956112852664,2.09090909090909,0.401646450689184,0.0745838734883405,29
"easycorrectdiff","hi",0.818181818181818,1,1.73579578666012,0.370072905162987,22
"easycorrectdiff","lo",0.0344827586206897,0,1.08505294869782,0.201489274248449,29
"easymathcorrect","hi",6.18181818181818,6.5,1.70814194894596,0.364177087152348,22
"easymathcorrect","lo",7,7,1.0690449676497,0.198516666794186,29
"easymathtime","hi",3356.72670454545,3640.225,704.565788431152,150.213930813177,22
"easymathtime","lo",2992.85905172414,2841.5125,693.744974562691,128.825207660049,29
"easytimediff","hi",1272.82897727273,1348.65625,669.517241104889,142.741555415994,22
"easytimediff","lo",641.257327586207,682.1875,607.199378665856,112.754093962252,29
"easyverbalcorrect","hi",7,8,1.44749372891149,0.308606699924184,22
"easyverbalcorrect","lo",7.03448275862069,8,1.26724556817109,0.2353215943349,29
"easyverbaltime","hi",2083.89772727273,2022.2625,353.885832024516,75.448712895728,22
"easyverbaltime","lo",2351.60172413793,2350.8,504.054036326563,93.600484735169,29
"hardcorrectdiff","hi",1.18181818181818,1.5,1.94290807165233,0.414229392689374,22
"hardcorrectdiff","lo",1.31034482758621,2,1.94758913744041,0.361658223506949,29
"hardmathcorrect","hi",3.63636363636364,4,1.64882222165239,0.351530078799338,22
"hardmathcorrect","lo",3.82758620689655,4,1.36457647844203,0.253395490632743,29
"hardmathtime","hi",4009.59886363636,4076.0875,707.436088543444,150.825880853273,22
"hardmathtime","lo",4137.32413793103,4205.1875,460.807141335642,85.5697379447226,29
"hardtimediff","hi",651.289204545455,674.4,829.48399473364,176.846581882725,22
"hardtimediff","lo",716.707327586207,645.837500000001,646.496450818526,120.05137706501,29
"hardverbalcorrect","hi",4.81818181818182,5,1.56254870053974,0.333136502295602,22
"hardverbalcorrect","lo",5.13793103448276,5,1.30176083855222,0.241730919140597,29
"hardverbaltime","hi",3358.30965909091,3382.075,810.31061039972,172.758802607772,22
"hardverbaltime","lo",3420.61681034483,3465.8875,430.355429610792,79.9149970379065,29
"mathcorrectdif","hi",2.54545454545455,3,2.32434881259191,0.495552831904907,22
"mathcorrectdif","lo",3.17241379310345,3,1.53690239297011,0.285395609607704,29
"mathtimediff","hi",652.872159090909,797.38125,1142.32177325817,243.543820367254,22
"mathtimediff","lo",1144.4650862069,1232.975,809.442552285622,150.309708481575,29
"verbalcorrectdif","hi",2.18181818181818,2.5,1.22031860150433,0.2601728000228,22
"verbalcorrectdif","lo",1.89655172413793,2,1.44777730100333,0.268845495514873,29
"verbaltimediff","hi",1274.41193181818,1308.3625,720.57212282231,153.626492771599,22
"verbaltimediff","lo",1069.0150862069,1180.575,571.460093559488,106.117475328219,29
