"id","amascat","biscat","measure","value","difficulty","subject"
602,"hi","lo","mathcorrectdif",6,NA,"math"
603,"hi","hi","mathcorrectdif",2,NA,"math"
604,"hi","hi","mathcorrectdif",6,NA,"math"
605,"lo","lo","mathcorrectdif",3,NA,"math"
606,"lo","hi","mathcorrectdif",2,NA,"math"
607,"hi","lo","mathcorrectdif",4,NA,"math"
608,"hi","lo","mathcorrectdif",4,NA,"math"
609,"hi","hi","mathcorrectdif",2,NA,"math"
610,"lo","lo","mathcorrectdif",2,NA,"math"
611,"lo","lo","mathcorrectdif",2,NA,"math"
612,"lo","lo","mathcorrectdif",3,NA,"math"
613,"lo","hi","mathcorrectdif",4,NA,"math"
614,"lo","lo","mathcorrectdif",5,NA,"math"
615,"lo","hi","mathcorrectdif",4,NA,"math"
616,"lo","lo","mathcorrectdif",3,NA,"math"
617,"hi","lo","mathcorrectdif",2,NA,"math"
618,"lo","lo","mathcorrectdif",1,NA,"math"
619,"lo","hi","mathcorrectdif",3,NA,"math"
620,"hi","lo","mathcorrectdif",2,NA,"math"
621,"lo","hi","mathcorrectdif",3,NA,"math"
622,"hi","hi","mathcorrectdif",1,NA,"math"
625,"lo","lo","mathcorrectdif",3,NA,"math"
626,"hi","hi","mathcorrectdif",1,NA,"math"
627,"hi","lo","mathcorrectdif",2,NA,"math"
628,"hi","lo","mathcorrectdif",4,NA,"math"
629,"hi","hi","mathcorrectdif",3,NA,"math"
630,"hi","hi","mathcorrectdif",5,NA,"math"
631,"hi","hi","mathcorrectdif",-4,NA,"math"
632,"hi","lo","mathcorrectdif",2,NA,"math"
633,"lo","hi","mathcorrectdif",-1,NA,"math"
634,"hi","hi","mathcorrectdif",6,NA,"math"
635,"lo","hi","mathcorrectdif",3,NA,"math"
636,"hi","hi","mathcorrectdif",3,NA,"math"
637,"hi","lo","mathcorrectdif",2,NA,"math"
638,"lo","hi","mathcorrectdif",4,NA,"math"
640,"lo","lo","mathcorrectdif",2,NA,"math"
641,"lo","lo","mathcorrectdif",4,NA,"math"
642,"hi","hi","mathcorrectdif",3,NA,"math"
643,"lo","lo","mathcorrectdif",4,NA,"math"
644,"hi","lo","mathcorrectdif",2,NA,"math"
645,"lo","lo","mathcorrectdif",3,NA,"math"
646,"lo","lo","mathcorrectdif",8,NA,"math"
647,"hi","lo","mathcorrectdif",5,NA,"math"
648,"hi","lo","mathcorrectdif",2,NA,"math"
649,"hi","hi","mathcorrectdif",0,NA,"math"
650,"lo","lo","mathcorrectdif",2,NA,"math"
651,"lo","lo","mathcorrectdif",5,NA,"math"
652,"hi","lo","mathcorrectdif",2,NA,"math"
653,"lo","hi","mathcorrectdif",1,NA,"math"
654,"lo","hi","mathcorrectdif",5,NA,"math"
655,"lo","lo","mathcorrectdif",3,NA,"math"
602,"hi","lo","verbalcorrectdif",3,NA,"verbal"
603,"hi","hi","verbalcorrectdif",0,NA,"verbal"
604,"hi","hi","verbalcorrectdif",1,NA,"verbal"
605,"lo","lo","verbalcorrectdif",2,NA,"verbal"
606,"lo","hi","verbalcorrectdif",1,NA,"verbal"
607,"hi","lo","verbalcorrectdif",4,NA,"verbal"
608,"hi","lo","verbalcorrectdif",1,NA,"verbal"
609,"hi","hi","verbalcorrectdif",3,NA,"verbal"
610,"lo","lo","verbalcorrectdif",0,NA,"verbal"
611,"lo","lo","verbalcorrectdif",0,NA,"verbal"
612,"lo","lo","verbalcorrectdif",2,NA,"verbal"
613,"lo","hi","verbalcorrectdif",3,NA,"verbal"
614,"lo","lo","verbalcorrectdif",1,NA,"verbal"
615,"lo","hi","verbalcorrectdif",2,NA,"verbal"
616,"lo","lo","verbalcorrectdif",4,NA,"verbal"
617,"hi","lo","verbalcorrectdif",1,NA,"verbal"
618,"lo","lo","verbalcorrectdif",3,NA,"verbal"
619,"lo","hi","verbalcorrectdif",3,NA,"verbal"
620,"hi","lo","verbalcorrectdif",3,NA,"verbal"
621,"lo","hi","verbalcorrectdif",1,NA,"verbal"
622,"hi","hi","verbalcorrectdif",0,NA,"verbal"
625,"lo","lo","verbalcorrectdif",0,NA,"verbal"
626,"hi","hi","verbalcorrectdif",3,NA,"verbal"
627,"hi","lo","verbalcorrectdif",4,NA,"verbal"
628,"hi","lo","verbalcorrectdif",0,NA,"verbal"
629,"hi","hi","verbalcorrectdif",1,NA,"verbal"
630,"hi","hi","verbalcorrectdif",3,NA,"verbal"
631,"hi","hi","verbalcorrectdif",2,NA,"verbal"
632,"hi","lo","verbalcorrectdif",2,NA,"verbal"
633,"lo","hi","verbalcorrectdif",3,NA,"verbal"
634,"hi","hi","verbalcorrectdif",5,NA,"verbal"
635,"lo","hi","verbalcorrectdif",2,NA,"verbal"
636,"hi","hi","verbalcorrectdif",1,NA,"verbal"
637,"hi","lo","verbalcorrectdif",1,NA,"verbal"
638,"lo","hi","verbalcorrectdif",3,NA,"verbal"
640,"lo","lo","verbalcorrectdif",0,NA,"verbal"
641,"lo","lo","verbalcorrectdif",1,NA,"verbal"
642,"hi","hi","verbalcorrectdif",3,NA,"verbal"
643,"lo","lo","verbalcorrectdif",1,NA,"verbal"
644,"hi","lo","verbalcorrectdif",5,NA,"verbal"
645,"lo","lo","verbalcorrectdif",4,NA,"verbal"
646,"lo","lo","verbalcorrectdif",2,NA,"verbal"
647,"hi","lo","verbalcorrectdif",1,NA,"verbal"
648,"hi","lo","verbalcorrectdif",1,NA,"verbal"
649,"hi","hi","verbalcorrectdif",2,NA,"verbal"
650,"lo","lo","verbalcorrectdif",1,NA,"verbal"
651,"lo","lo","verbalcorrectdif",2,NA,"verbal"
652,"hi","lo","verbalcorrectdif",3,NA,"verbal"
653,"lo","hi","verbalcorrectdif",3,NA,"verbal"
654,"lo","hi","verbalcorrectdif",3,NA,"verbal"
655,"lo","lo","verbalcorrectdif",3,NA,"verbal"
602,"hi","lo","easycorrectdiff",0,"easy",NA
603,"hi","hi","easycorrectdiff",1,"easy",NA
604,"hi","hi","easycorrectdiff",-2,"easy",NA
605,"lo","lo","easycorrectdiff",1,"easy",NA
606,"lo","hi","easycorrectdiff",0,"easy",NA
607,"hi","lo","easycorrectdiff",-1,"easy",NA
608,"hi","lo","easycorrectdiff",-1,"easy",NA
609,"hi","hi","easycorrectdiff",-1,"easy",NA
610,"lo","lo","easycorrectdiff",-3,"easy",NA
611,"lo","lo","easycorrectdiff",-1,"easy",NA
612,"lo","lo","easycorrectdiff",-1,"easy",NA
613,"lo","hi","easycorrectdiff",-1,"easy",NA
614,"lo","lo","easycorrectdiff",-1,"easy",NA
615,"lo","hi","easycorrectdiff",3,"easy",NA
616,"lo","lo","easycorrectdiff",0,"easy",NA
617,"hi","lo","easycorrectdiff",1,"easy",NA
