"id","amascat","biscat","measure","value","difficulty","subject"
602,"hi","lo","easymathcorrect",8,"easy","math"
603,"hi","hi","easymathcorrect",6,"easy","math"
604,"hi","hi","easymathcorrect",6,"easy","math"
605,"lo","lo","easymathcorrect",7,"easy","math"
606,"lo","hi","easymathcorrect",8,"easy","math"
607,"hi","lo","easymathcorrect",8,"easy","math"
608,"hi","lo","easymathcorrect",6,"easy","math"
609,"hi","hi","easymathcorrect",6,"easy","math"
610,"lo","lo","easymathcorrect",8,"easy","math"
611,"lo","lo","easymathcorrect",6,"easy","math"
612,"lo","lo","easymathcorrect",8,"easy","math"
613,"lo","hi","easymathcorrect",8,"easy","math"
614,"lo","lo","easymathcorrect",8,"easy","math"
615,"lo","hi","easymathcorrect",5,"easy","math"
616,"lo","lo","easymathcorrect",8,"easy","math"
617,"hi","lo","easymathcorrect",4,"easy","math"
618,"lo","lo","easymathcorrect",7,"easy","math"
619,"lo","hi","easymathcorrect",8,"easy","math"
620,"hi","lo","easymathcorrect",6,"easy","math"
621,"lo","hi","easymathcorrect",7,"easy","math"
622,"hi","hi","easymathcorrect",5,"easy","math"
625,"lo","lo","easymathcorrect",5,"easy","math"
626,"hi","hi","easymathcorrect",5,"easy","math"
627,"hi","lo","easymathcorrect",7,"easy","math"
628,"hi","lo","easymathcorrect",7,"easy","math"
629,"hi","hi","easymathcorrect",7,"easy","math"
630,"hi","hi","easymathcorrect",7,"easy","math"
631,"hi","hi","easymathcorrect",1,"easy","math"
632,"hi","lo","easymathcorrect",6,"easy","math"
633,"lo","hi","easymathcorrect",4,"easy","math"
634,"hi","hi","easymathcorrect",7,"easy","math"
635,"lo","hi","easymathcorrect",7,"easy","math"
636,"hi","hi","easymathcorrect",6,"easy","math"
637,"hi","lo","easymathcorrect",7,"easy","math"
638,"lo","hi","easymathcorrect",8,"easy","math"
640,"lo","lo","easymathcorrect",6,"easy","math"
641,"lo","lo","easymathcorrect",8,"easy","math"
642,"hi","hi","easymathcorrect",8,"easy","math"
643,"lo","lo","easymathcorrect",8,"easy","math"
644,"hi","lo","easymathcorrect",7,"easy","math"
645,"lo","lo","easymathcorrect",6,"easy","math"
646,"lo","lo","easymathcorrect",8,"easy","math"
647,"hi","lo","easymathcorrect",8,"easy","math"
648,"hi","lo","easymathcorrect",7,"easy","math"
649,"hi","hi","easymathcorrect",4,"easy","math"
650,"lo","lo","easymathcorrect",6,"easy","math"
651,"lo","lo","easymathcorrect",8,"easy","math"
652,"hi","lo","easymathcorrect",7,"easy","math"
653,"lo","hi","easymathcorrect",7,"easy","math"
654,"lo","hi","easymathcorrect",6,"easy","math"
655,"lo","lo","easymathcorrect",8,"easy","math"
602,"hi","lo","hardmathcorrect",2,"hard","math"
603,"hi","hi","hardmathcorrect",4,"hard","math"
604,"hi","hi","hardmathcorrect",0,"hard","math"
605,"lo","lo","hardmathcorrect",4,"hard","math"
606,"lo","hi","hardmathcorrect",6,"hard","math"
607,"hi","lo","hardmathcorrect",4,"hard","math"
608,"hi","lo","hardmathcorrect",2,"hard","math"
609,"hi","hi","hardmathcorrect",4,"hard","math"
610,"lo","lo","hardmathcorrect",6,"hard","math"
611,"lo","lo","hardmathcorrect",4,"hard","math"
612,"lo","lo","hardmathcorrect",5,"hard","math"
613,"lo","hi","hardmathcorrect",4,"hard","math"
614,"lo","lo","hardmathcorrect",3,"hard","math"
615,"lo","hi","hardmathcorrect",1,"hard","math"
616,"lo","lo","hardmathcorrect",5,"hard","math"
617,"hi","lo","hardmathcorrect",2,"hard","math"
618,"lo","lo","hardmathcorrect",6,"hard","math"
619,"lo","hi","hardmathcorrect",5,"hard","math"
620,"hi","lo","hardmathcorrect",4,"hard","math"
621,"lo","hi","hardmathcorrect",4,"hard","math"
622,"hi","hi","hardmathcorrect",4,"hard","math"
625,"lo","lo","hardmathcorrect",2,"hard","math"
626,"hi","hi","hardmathcorrect",4,"hard","math"
627,"hi","lo","hardmathcorrect",5,"hard","math"
628,"hi","lo","hardmathcorrect",3,"hard","math"
629,"hi","hi","hardmathcorrect",4,"hard","math"
630,"hi","hi","hardmathcorrect",2,"hard","math"
631,"hi","hi","hardmathcorrect",5,"hard","math"
632,"hi","lo","hardmathcorrect",4,"hard","math"
633,"lo","hi","hardmathcorrect",5,"hard","math"
634,"hi","hi","hardmathcorrect",1,"hard","math"
635,"lo","hi","hardmathcorrect",4,"hard","math"
636,"hi","hi","hardmathcorrect",3,"hard","math"
637,"hi","lo","hardmathcorrect",5,"hard","math"
638,"lo","hi","hardmathcorrect",4,"hard","math"
640,"lo","lo","hardmathcorrect",4,"hard","math"
641,"lo","lo","hardmathcorrect",4,"hard","math"
642,"hi","hi","hardmathcorrect",5,"hard","math"
643,"lo","lo","hardmathcorrect",4,"hard","math"
644,"hi","lo","hardmathcorrect",5,"hard","math"
645,"lo","lo","hardmathcorrect",3,"hard","math"
646,"lo","lo","hardmathcorrect",0,"hard","math"
647,"hi","lo","hardmathcorrect",3,"hard","math"
648,"hi","lo","hardmathcorrect",5,"hard","math"
649,"hi","hi","hardmathcorrect",4,"hard","math"
650,"lo","lo","hardmathcorrect",4,"hard","math"
651,"lo","lo","hardmathcorrect",3,"hard","math"
652,"hi","lo","hardmathcorrect",5,"hard","math"
653,"lo","hi","hardmathcorrect",6,"hard","math"
654,"lo","hi","hardmathcorrect",1,"hard","math"
655,"lo","lo","hardmathcorrect",5,"hard","math"
602,"hi","lo","easyverbalcorrect",8,"easy","verbal"
603,"hi","hi","easyverbalcorrect",7,"easy","verbal"
604,"hi","hi","easyverbalcorrect",4,"easy","verbal"
605,"lo","lo","easyverbalcorrect",8,"easy","verbal"
606,"lo","hi","easyverbalcorrect",8,"easy","verbal"
607,"hi","lo","easyverbalcorrect",7,"easy","verbal"
608,"hi","lo","easyverbalcorrect",5,"easy","verbal"
609,"hi","hi","easyverbalcorrect",5,"easy","verbal"
610,"lo","lo","easyverbalcorrect",5,"easy","verbal"
611,"lo","lo","easyverbalcorrect",5,"easy","verbal"
612,"lo","lo","easyverbalcorrect",7,"easy","verbal"
613,"lo","hi","easyverbalcorrect",7,"easy","verbal"
614,"lo","lo","easyverbalcorrect",7,"easy","verbal"
615,"lo","hi","easyverbalcorrect",8,"easy","verbal"
616,"lo","lo","easyverbalcorrect",8,"easy","verbal"
617,"hi","lo","easyverbalcorrect",5,"easy","verbal"
618,"lo","lo","easyverbalcorrect",8,"easy","verbal"
619,"lo","hi","easyverbalcorrect",8,"easy","verbal"
620,"hi","lo","easyverbalcorrect",8,"easy","verbal"
621,"lo","hi","easyverbalcorrect",7,"easy","verbal"
622,"hi","hi","easyverbalcorrect",3,"easy","verbal"
625,"lo","lo","easyverbalcorrect",4,"easy","verbal"
626,"hi","hi","easyverbalcorrect",7,"easy","verbal"
627,"hi","lo","easyverbalcorrect",7,"easy","verbal"
628,"hi","lo","easyverbalcorrect",6,"easy","verbal"
629,"hi","hi","easyverbalcorrect",8,"easy","verbal"
630,"hi","hi","easyverbalcorrect",8,"easy","verbal"
631,"hi","hi","easyverbalcorrect",6,"easy","verbal"
632,"hi","lo","easyverbalcorrect",5,"easy","verbal"
633,"lo","hi","easyverbalcorrect",6,"easy","verbal"
634,"hi","hi","easyverbalcorrect",8,"easy","verbal"
635,"lo","hi","easyverbalcorrect",8,"easy","verbal"
636,"hi","hi","easyverbalcorrect",8,"easy","verbal"
637,"hi","lo","easyverbalcorrect",7,"easy","verbal"
638,"lo","hi","easyverbalcorrect",8,"easy","verbal"
640,"lo","lo","easyverbalcorrect",7,"easy","verbal"
641,"lo","lo","easyverbalcorrect",8,"easy","verbal"
642,"hi","hi","easyverbalcorrect",8,"easy","verbal"
643,"lo","lo","easyverbalcorrect",8,"easy","verbal"
644,"hi","lo","easyverbalcorrect",8,"easy","verbal"
645,"lo","lo","easyverbalcorrect",8,"easy","verbal"
646,"lo","lo","easyverbalcorrect",8,"easy","verbal"
647,"hi","lo","easyverbalcorrect",8,"easy","verbal"
648,"hi","lo","easyverbalcorrect",8,"easy","verbal"
649,"hi","hi","easyverbalcorrect",8,"easy","verbal"
650,"lo","lo","easyverbalcorrect",7,"easy","verbal"
651,"lo","lo","easyverbalcorrect",8,"easy","verbal"
