"group1","group2","p.value"
"hi:easy:verbal","hi:easy:math",8.22499920028286e-10
"hi:hard:math","hi:easy:math",0.147071500782186
"hi:hard:verbal","hi:easy:math",1
"lo:easy:math","hi:easy:math",0.00631132674346221
"lo:easy:verbal","hi:easy:math",3.42472886235355e-12
"lo:hard:math","hi:easy:math",9.04861960233637e-05
"lo:hard:verbal","hi:easy:math",1
"hi:hard:math","hi:easy:verbal",1.77427630137505e-17
"hi:hard:verbal","hi:easy:verbal",1.41509647072984e-09
"lo:easy:math","hi:easy:verbal",0.0259578487985087
"lo:easy:verbal","hi:easy:verbal",1
"lo:hard:math","hi:easy:verbal",1.5791057260986e-23
"lo:hard:verbal","hi:easy:verbal",2.98011444511013e-08
"hi:hard:verbal","hi:hard:math",0.110250576242533
"lo:easy:math","hi:hard:math",1.00102485703595e-08
"lo:easy:verbal","hi:hard:math",2.8716083368727e-20
"lo:hard:math","hi:hard:math",1
"lo:hard:verbal","hi:hard:math",0.0129185019844207
"lo:easy:math","hi:hard:verbal",0.00899144323476125
"lo:easy:verbal","hi:hard:verbal",6.14560836178876e-12
"lo:hard:math","hi:hard:verbal",5.87953884215737e-05
"lo:hard:verbal","hi:hard:verbal",1
"lo:easy:verbal","lo:easy:math",0.000885920338514116
"lo:hard:math","lo:easy:math",5.61164832847505e-14
"lo:hard:verbal","lo:easy:math",0.0669702288989471
"lo:hard:math","lo:easy:verbal",1.63963735879592e-26
"lo:hard:verbal","lo:easy:verbal",1.5805109881055e-10
"lo:hard:verbal","lo:hard:math",2.44304683288179e-06
