"","amas_learn","amas_eval","amas","bis_ATT","bis_MTR","bis_NPL","bis","easymathtime","hardmathtime","easyverbaltime","hardverbaltime","easymathcorrect","hardmathcorrect","easyverbalcorrect","hardverbalcorrect","mathcorrectdif","verbalcorrectdif","mathtimediff","verbaltimediff","easycorrectdiff","hardcorrectdiff","easytimediff"
"amas_learn","","","","","","","","","","","","","","","","","","","","","",""
"amas_eval"," 0.11 ","","","","","","","","","","","","","","","","","","","","",""
"amas"," 0.85***"," 0.61** ","","","","","","","","","","","","","","","","","","","",""
"bis_ATT"," 0.23 "," 0.01 "," 0.18 ","","","","","","","","","","","","","","","","","","",""
"bis_MTR"," 0.00 ","-0.11 ","-0.05 "," 0.71***","","","","","","","","","","","","","","","","","",""
"bis_NPL"," 0.15 ","-0.55** ","-0.17 "," 0.21 "," 0.25 ","","","","","","","","","","","","","","","","",""
"bis"," 0.16 ","-0.33 ","-0.05 "," 0.78***"," 0.82***"," 0.70***","","","","","","","","","","","","","","","",""
"easymathtime"," 0.25 "," 0.37 "," 0.39 "," 0.28 "," 0.33 "," 0.05 "," 0.27 ","","","","","","","","","","","","","","",""
"hardmathtime","-0.35 "," 0.00 ","-0.28 ","-0.24 ","-0.40 ","-0.35 ","-0.44* ","-0.24 ","","","","","","","","","","","","","",""
"easyverbaltime"," 0.09 "," 0.22 "," 0.19 ","-0.30 ","-0.55** ","-0.09 ","-0.39 "," 0.23 "," 0.16 ","","","","","","","","","","","","",""
"hardverbaltime"," 0.07 ","-0.02 "," 0.04 "," 0.16 ","-0.15 ","-0.03 ","-0.03 "," 0.18 "," 0.42* "," 0.42* ","","","","","","","","","","","",""
"easymathcorrect","-0.28 ","-0.13 ","-0.30 ","-0.31 ","-0.33 ","-0.39 ","-0.46* ","-0.46* "," 0.63***","-0.05 "," 0.30 ","","","","","","","","","","",""
"hardmathcorrect","-0.03 "," 0.00 ","-0.03 ","-0.27 ","-0.11 "," 0.10 ","-0.10 ","-0.30 ","-0.39 ","-0.12 ","-0.33 ","-0.06 ","","","","","","","","","",""
"easyverbalcorrect","-0.01 "," 0.06 "," 0.02 ","-0.20 ","-0.12 ","-0.19 ","-0.22 ","-0.16 "," 0.34 ","-0.13 "," 0.13 "," 0.41* "," 0.26 ","","","","","","","","",""
"hardverbalcorrect","-0.10 ","-0.03 ","-0.09 ","-0.04 "," 0.11 ","-0.13 ","-0.03 ","-0.31 "," 0.20 ","-0.29 ","-0.21 "," 0.17 "," 0.14 "," 0.55** ","","","","","","","",""
"mathcorrectdif","-0.18 ","-0.10 ","-0.20 ","-0.05 ","-0.16 ","-0.34 ","-0.27 ","-0.14 "," 0.71***"," 0.04 "," 0.43* "," 0.77***","-0.69***"," 0.13 "," 0.03 ","","","","","","",""
"verbalcorrectdif"," 0.10 "," 0.09 "," 0.13 ","-0.16 ","-0.24 ","-0.05 ","-0.19 "," 0.17 "," 0.13 "," 0.18 "," 0.36 "," 0.24 "," 0.11 "," 0.42* ","-0.53** "," 0.10 ","","","","","",""
"mathtimediff","-0.38 ","-0.23 ","-0.43* ","-0.33 ","-0.46* ","-0.25 ","-0.45* ","-0.79***"," 0.78***","-0.04 "," 0.15 "," 0.69***","-0.05 "," 0.32 "," 0.32 "," 0.53** ","-0.02 ","","","","",""
"verbaltimediff"," 0.01 ","-0.18 ","-0.08 "," 0.38 "," 0.22 "," 0.03 "," 0.25 "," 0.03 "," 0.33 ","-0.26 "," 0.77***"," 0.36 ","-0.27 "," 0.23 ","-0.02 "," 0.43* "," 0.26 "," 0.19 ","","","",""
"easycorrectdiff"," 0.26 "," 0.18 "," 0.30 "," 0.11 "," 0.20 "," 0.20 "," 0.23 "," 0.28 ","-0.28 ","-0.07 ","-0.16 ","-0.57** "," 0.29 "," 0.52** "," 0.34 ","-0.60** "," 0.16 ","-0.36 ","-0.13 ","","",""
"hardcorrectdiff","-0.06 ","-0.02 ","-0.06 "," 0.16 "," 0.17 ","-0.17 "," 0.04 ","-0.04 "," 0.44* ","-0.15 "," 0.06 "," 0.18 ","-0.59** "," 0.26 "," 0.72***"," 0.51** ","-0.51** "," 0.30 "," 0.17 "," 0.07 ","",""
"easytimediff"," 0.17 "," 0.19 "," 0.24 "," 0.45* "," 0.66***"," 0.10 "," 0.50* "," 0.77***","-0.33 ","-0.45* ","-0.12 ","-0.38 ","-0.20 ","-0.06 ","-0.09 ","-0.15 "," 0.03 ","-0.70***"," 0.19 "," 0.30 "," 0.07 ",""
"hardtimediff","-0.37 "," 0.03 ","-0.28 ","-0.36 ","-0.20 ","-0.28 ","-0.36 ","-0.38 "," 0.47* ","-0.26 ","-0.61** "," 0.26 ","-0.02 "," 0.17 "," 0.38 "," 0.20 ","-0.24 "," 0.54** ","-0.46* ","-0.09 "," 0.32 ","-0.17 "
