"","amas_learn","amas_eval","amas","bis_ATT","bis_MTR","bis_NPL","bis","easymathtime","hardmathtime","easyverbaltime","hardverbaltime","easymathcorrect","hardmathcorrect","easyverbalcorrect","hardverbalcorrect","mathcorrectdif","verbalcorrectdif","mathtimediff","verbaltimediff","easycorrectdiff","hardcorrectdiff","easytimediff"
"amas_learn","","","","","","","","","","","","","","","","","","","","","",""
"amas_eval"," 0.68***","","","","","","","","","","","","","","","","","","","","",""
"amas"," 0.92***"," 0.91***","","","","","","","","","","","","","","","","","","","",""
"bis_ATT"," 0.16 ","-0.06 "," 0.06 ","","","","","","","","","","","","","","","","","","",""
"bis_MTR"," 0.15 "," 0.02 "," 0.09 "," 0.36 ","","","","","","","","","","","","","","","","","",""
"bis_NPL"," 0.00 ","-0.10 ","-0.06 ","-0.61** ","-0.17 ","","","","","","","","","","","","","","","","",""
"bis"," 0.20 ","-0.11 "," 0.05 "," 0.38 "," 0.76***"," 0.31 ","","","","","","","","","","","","","","","",""
"easymathtime"," 0.49* "," 0.55** "," 0.57** ","-0.09 "," 0.13 "," 0.14 "," 0.14 ","","","","","","","","","","","","","","",""
"hardmathtime","-0.48* ","-0.25 ","-0.40 ","-0.20 ","-0.35 ","-0.09 ","-0.44* ","-0.31 ","","","","","","","","","","","","","",""
"easyverbaltime"," 0.08 "," 0.10 "," 0.10 ","-0.10 ","-0.42 "," 0.09 ","-0.27 "," 0.35 "," 0.06 ","","","","","","","","","","","","",""
"hardverbaltime"," 0.15 "," 0.16 "," 0.17 "," 0.23 "," 0.01 ","-0.30 ","-0.09 "," 0.25 "," 0.41 "," 0.46* ","","","","","","","","","","","",""
"easymathcorrect","-0.31 ","-0.40 ","-0.39 "," 0.01 ","-0.02 ","-0.14 ","-0.13 ","-0.49* "," 0.50* ","-0.07 "," 0.26 ","","","","","","","","","","",""
"hardmathcorrect","-0.16 ","-0.35 ","-0.28 ","-0.28 "," 0.09 "," 0.45* "," 0.24 ","-0.31 ","-0.43* ","-0.22 ","-0.47* "," 0.04 ","","","","","","","","","",""
"easyverbalcorrect","-0.17 ","-0.26 ","-0.23 ","-0.03 "," 0.05 ","-0.04 ","-0.02 ","-0.26 "," 0.24 ","-0.07 "," 0.17 "," 0.40 "," 0.20 ","","","","","","","","",""
"hardverbalcorrect","-0.06 ","-0.05 ","-0.06 ","-0.10 "," 0.17 ","-0.22 ","-0.13 ","-0.33 "," 0.14 ","-0.29 ","-0.08 "," 0.24 "," 0.27 "," 0.67***","","","","","","","",""
"mathcorrectdif","-0.11 ","-0.05 ","-0.09 "," 0.20 ","-0.07 ","-0.42* ","-0.27 ","-0.14 "," 0.68***"," 0.11 "," 0.52* "," 0.71***","-0.68***"," 0.16 ","-0.01 ","","","","","","",""
"verbalcorrectdif","-0.12 ","-0.25 ","-0.20 "," 0.09 ","-0.15 "," 0.23 "," 0.14 "," 0.12 "," 0.10 "," 0.30 "," 0.31 "," 0.17 ","-0.11 "," 0.32 ","-0.48* "," 0.20 ","","","","","",""
"mathtimediff","-0.60** ","-0.49* ","-0.60** ","-0.07 ","-0.30 ","-0.14 ","-0.36 ","-0.81***"," 0.81***","-0.18 "," 0.10 "," 0.61** ","-0.08 "," 0.31 "," 0.29 "," 0.51* ","-0.01 ","","","","",""
"verbaltimediff"," 0.13 "," 0.13 "," 0.14 "," 0.31 "," 0.22 ","-0.38 "," 0.03 "," 0.12 "," 0.43* "," 0.02 "," 0.90***"," 0.32 ","-0.41 "," 0.23 "," 0.05 "," 0.53* "," 0.20 "," 0.20 ","","","",""
"easycorrectdiff"," 0.17 "," 0.18 "," 0.19 ","-0.03 "," 0.06 "," 0.11 "," 0.11 "," 0.26 ","-0.30 "," 0.01 ","-0.11 ","-0.65** "," 0.13 "," 0.44* "," 0.32 ","-0.56** "," 0.11 ","-0.35 ","-0.13 ","","",""
"hardcorrectdiff"," 0.09 "," 0.26 "," 0.19 "," 0.16 "," 0.06 ","-0.55** ","-0.31 ","-0.01 "," 0.48* ","-0.05 "," 0.33 "," 0.16 ","-0.63** "," 0.37 "," 0.58** "," 0.57** ","-0.30 "," 0.30 "," 0.39 "," 0.15 ","",""
"easytimediff"," 0.47* "," 0.53* "," 0.55** ","-0.04 "," 0.35 "," 0.10 "," 0.29 "," 0.87***","-0.36 ","-0.16 "," 0.03 ","-0.48* ","-0.21 ","-0.24 ","-0.19 ","-0.20 ","-0.03 ","-0.76***"," 0.11 "," 0.27 "," 0.02 ",""
"hardtimediff","-0.56** ","-0.36 ","-0.51* ","-0.39 ","-0.31 "," 0.21 ","-0.29 ","-0.51* "," 0.45* ","-0.40 ","-0.63** "," 0.18 "," 0.08 "," 0.03 "," 0.20 "," 0.07 ","-0.22 "," 0.60** ","-0.51* ","-0.15 "," 0.09 ","-0.33 "
