"","amas_learn","amas_eval","amas","bis_ATT","bis_MTR","bis_NPL","bis","easymathtime","hardmathtime","easyverbaltime","hardverbaltime","easymathcorrect","hardmathcorrect","easyverbalcorrect","hardverbalcorrect","mathcorrectdif","verbalcorrectdif","mathtimediff","verbaltimediff","easycorrectdiff","hardcorrectdiff","easytimediff"
"amas_learn","","","","","","","","","","","","","","","","","","","","","",""
"amas_eval"," 0.15 ","","","","","","","","","","","","","","","","","","","","",""
"amas"," 0.44* "," 0.95***","","","","","","","","","","","","","","","","","","","",""
"bis_ATT"," 0.19 ","-0.22 ","-0.14 ","","","","","","","","","","","","","","","","","","",""
"bis_MTR"," 0.06 ","-0.35 ","-0.30 "," 0.57** ","","","","","","","","","","","","","","","","","",""
"bis_NPL","-0.09 ","-0.17 ","-0.18 "," 0.12 "," 0.17 ","","","","","","","","","","","","","","","","",""
"bis"," 0.06 ","-0.34 ","-0.29 "," 0.74***"," 0.78***"," 0.64***","","","","","","","","","","","","","","","",""
"easymathtime","-0.24 "," 0.29 "," 0.19 "," 0.00 ","-0.05 "," 0.15 "," 0.06 ","","","","","","","","","","","","","","",""
"hardmathtime","-0.27 "," 0.35 "," 0.24 ","-0.14 ","-0.11 "," 0.25 "," 0.02 "," 0.28 ","","","","","","","","","","","","","",""
"easyverbaltime","-0.17 "," 0.13 "," 0.06 ","-0.29 ","-0.39* ","-0.05 ","-0.33 "," 0.43* ","-0.02 ","","","","","","","","","","","","",""
"hardverbaltime"," 0.01 "," 0.24 "," 0.22 "," 0.14 "," 0.06 ","-0.32 ","-0.08 "," 0.29 "," 0.01 "," 0.13 ","","","","","","","","","","","",""
"easymathcorrect"," 0.12 ","-0.31 ","-0.24 "," 0.02 "," 0.13 ","-0.28 ","-0.08 ","-0.61***","-0.22 ","-0.41* ","-0.06 ","","","","","","","","","","",""
"hardmathcorrect","-0.15 ","-0.40* ","-0.41* ","-0.01 ","-0.05 "," 0.23 "," 0.09 ","-0.25 ","-0.16 ","-0.19 ","-0.22 "," 0.28 ","","","","","","","","","",""
"easyverbalcorrect"," 0.17 ","-0.29 ","-0.21 "," 0.20 "," 0.40* ","-0.21 "," 0.15 ","-0.38 ","-0.34 ","-0.37 ","-0.05 "," 0.47* "," 0.10 ","","","","","","","","",""
"hardverbalcorrect"," 0.41* "," 0.29 "," 0.39* ","-0.08 "," 0.05 ","-0.39* ","-0.22 ","-0.19 ","-0.10 ","-0.24 "," 0.18 "," 0.37 "," 0.04 "," 0.43* ","","","","","","","",""
"mathcorrectdif"," 0.23 "," 0.15 "," 0.21 "," 0.02 "," 0.14 ","-0.41* ","-0.14 ","-0.20 ","-0.01 ","-0.11 "," 0.17 "," 0.44* ","-0.74***"," 0.24 "," 0.23 ","","","","","","",""
"verbalcorrectdif","-0.23 ","-0.54** ","-0.56** "," 0.26 "," 0.32 "," 0.17 "," 0.35 ","-0.18 ","-0.22 ","-0.11 ","-0.22 "," 0.08 "," 0.06 "," 0.53** ","-0.54** "," 0.00 ","","","","","",""
"mathtimediff"," 0.05 ","-0.05 ","-0.02 ","-0.09 ","-0.03 "," 0.02 ","-0.04 ","-0.78***"," 0.39* ","-0.42* ","-0.27 "," 0.44* "," 0.13 "," 0.14 "," 0.11 "," 0.18 "," 0.03 ","","","","",""
"verbaltimediff"," 0.14 "," 0.10 "," 0.13 "," 0.32 "," 0.33 ","-0.22 "," 0.17 ","-0.08 "," 0.02 ","-0.62***"," 0.70***"," 0.25 ","-0.04 "," 0.22 "," 0.32 "," 0.22 ","-0.09 "," 0.09 ","","","",""
"easycorrectdiff"," 0.04 "," 0.03 "," 0.04 "," 0.18 "," 0.25 "," 0.07 "," 0.23 "," 0.24 ","-0.10 "," 0.05 "," 0.01 ","-0.54** ","-0.18 "," 0.49* "," 0.04 ","-0.21 "," 0.42* ","-0.30 ","-0.03 ","","",""
"hardcorrectdiff"," 0.37 "," 0.50** "," 0.57** ","-0.04 "," 0.07 ","-0.43* ","-0.21 "," 0.09 "," 0.07 "," 0.01 "," 0.29 ","-0.01 ","-0.80***"," 0.18 "," 0.57** "," 0.74***","-0.38 ","-0.04 "," 0.23 "," 0.17 ","",""
"easytimediff","-0.13 "," 0.21 "," 0.16 "," 0.21 "," 0.24 "," 0.20 "," 0.30 "," 0.75***"," 0.31 ","-0.28 "," 0.21 ","-0.35 ","-0.13 ","-0.14 ","-0.02 ","-0.13 ","-0.11 ","-0.52** "," 0.37 "," 0.22 "," 0.09 ",""
"hardtimediff","-0.19 "," 0.06 "," 0.00 ","-0.20 ","-0.12 "," 0.41* "," 0.07 ","-0.03 "," 0.67***","-0.11 ","-0.74***","-0.11 "," 0.06 ","-0.19 ","-0.20 ","-0.13 "," 0.01 "," 0.47* ","-0.50** ","-0.07 ","-0.17 "," 0.05 "
