"","amas_learn","amas_eval","amas","bis_ATT","bis_MTR","bis_NPL","bis","easymathtime","hardmathtime","easyverbaltime","hardverbaltime","easymathcorrect","hardmathcorrect","easyverbalcorrect","hardverbalcorrect","mathcorrectdif","verbalcorrectdif","mathtimediff","verbaltimediff","easycorrectdiff","hardcorrectdiff","easytimediff"
"amas_learn","","","","","","","","","","","","","","","","","","","","","",""
"amas_eval"," 0.72***","","","","","","","","","","","","","","","","","","","","",""
"amas"," 0.93***"," 0.92***","","","","","","","","","","","","","","","","","","","",""
"bis_ATT"," 0.14 "," 0.24 "," 0.20 ","","","","","","","","","","","","","","","","","","",""
"bis_MTR","-0.31 ","-0.21 ","-0.28 "," 0.28 ","","","","","","","","","","","","","","","","","",""
"bis_NPL"," 0.18 ","-0.05 "," 0.07 "," 0.08 ","-0.22 ","","","","","","","","","","","","","","","","",""
"bis"," 0.06 ","-0.03 "," 0.01 "," 0.62***"," 0.41* "," 0.71***","","","","","","","","","","","","","","","",""
"easymathtime"," 0.34 "," 0.56** "," 0.48** "," 0.10 ","-0.20 ","-0.05 ","-0.09 ","","","","","","","","","","","","","","",""
"hardmathtime","-0.31 ","-0.02 ","-0.18 ","-0.18 ","-0.18 ","-0.15 ","-0.28 "," 0.06 ","","","","","","","","","","","","","",""
"easyverbaltime"," 0.26 "," 0.28 "," 0.29 ","-0.12 ","-0.38* "," 0.11 ","-0.14 "," 0.52** ","-0.01 ","","","","","","","","","","","","",""
"hardverbaltime"," 0.06 "," 0.05 "," 0.06 "," 0.31 ","-0.14 "," 0.08 "," 0.13 "," 0.27 ","-0.05 "," 0.26 ","","","","","","","","","","","",""
"easymathcorrect","-0.34 ","-0.39* ","-0.39* "," 0.01 "," 0.29 ","-0.42* ","-0.19 ","-0.63***"," 0.16 ","-0.62***","-0.12 ","","","","","","","","","","",""
"hardmathcorrect","-0.09 ","-0.14 ","-0.12 "," 0.04 ","-0.20 "," 0.02 ","-0.06 ","-0.28 "," 0.02 ","-0.19 "," 0.00 "," 0.22 ","","","","","","","","","",""
"easyverbalcorrect","-0.08 ","-0.13 ","-0.11 ","-0.03 "," 0.25 ","-0.38* ","-0.19 ","-0.34 "," 0.05 ","-0.39* ","-0.13 "," 0.58***"," 0.19 ","","","","","","","","",""
"hardverbalcorrect","-0.29 ","-0.19 ","-0.26 "," 0.09 "," 0.27 ","-0.25 ","-0.03 ","-0.28 "," 0.16 ","-0.40* ","-0.17 "," 0.31 ","-0.07 "," 0.37 ","","","","","","","",""
"mathcorrectdif","-0.16 ","-0.14 ","-0.17 ","-0.03 "," 0.38* ","-0.31 ","-0.08 ","-0.19 "," 0.09 ","-0.27 ","-0.08 "," 0.50** ","-0.73***"," 0.24 "," 0.27 ","","","","","","",""
"verbalcorrectdif"," 0.19 "," 0.05 "," 0.14 ","-0.11 ","-0.02 ","-0.11 ","-0.14 ","-0.04 ","-0.10 "," 0.02 "," 0.04 "," 0.23 "," 0.23 "," 0.55** ","-0.58***","-0.04 ","","","","","",""
"mathtimediff","-0.47* ","-0.49** ","-0.52** ","-0.18 "," 0.07 ","-0.04 ","-0.08 ","-0.82***"," 0.52** ","-0.45* ","-0.26 "," 0.63***"," 0.25 "," 0.32 "," 0.33 "," 0.22 ","-0.02 ","","","","",""
"verbaltimediff","-0.18 ","-0.21 ","-0.21 "," 0.34 "," 0.23 ","-0.04 "," 0.22 ","-0.26 ","-0.03 ","-0.69***"," 0.52** "," 0.46* "," 0.17 "," 0.24 "," 0.22 "," 0.17 "," 0.01 "," 0.20 ","","","",""
"easycorrectdiff"," 0.24 "," 0.23 "," 0.25 ","-0.05 "," 0.01 ","-0.03 ","-0.04 "," 0.23 ","-0.10 "," 0.16 ","-0.04 ","-0.31 "," 0.00 "," 0.60***"," 0.12 ","-0.22 "," 0.41* ","-0.25 ","-0.17 ","","",""
"hardcorrectdiff","-0.14 ","-0.03 ","-0.09 "," 0.03 "," 0.32 ","-0.18 "," 0.02 "," 0.01 "," 0.09 ","-0.13 ","-0.11 "," 0.05 ","-0.75***"," 0.11 "," 0.72***"," 0.70***","-0.55** "," 0.05 "," 0.03 "," 0.08 ","",""
"easytimediff"," 0.18 "," 0.41* "," 0.31 "," 0.21 "," 0.08 ","-0.15 "," 0.01 "," 0.71***"," 0.08 ","-0.23 "," 0.10 ","-0.20 ","-0.16 ","-0.07 "," 0.01 "," 0.00 ","-0.07 ","-0.56** "," 0.28 "," 0.12 "," 0.12 ",""
"hardtimediff","-0.26 ","-0.05 ","-0.17 ","-0.33 ","-0.04 ","-0.16 ","-0.28 ","-0.14 "," 0.75***","-0.18 ","-0.70***"," 0.19 "," 0.02 "," 0.12 "," 0.22 "," 0.12 ","-0.10 "," 0.54** ","-0.37* ","-0.05 "," 0.14 ","-0.01 "
