"id","amascat","biscat","measure","value"
602,"hi","lo","amas_learn",2.4
603,"hi","hi","amas_learn",3
604,"hi","hi","amas_learn",2
605,"lo","lo","amas_learn",1
606,"lo","hi","amas_learn",1.6
607,"hi","lo","amas_learn",2.2
608,"hi","lo","amas_learn",2.8
609,"hi","hi","amas_learn",3.4
610,"lo","lo","amas_learn",1
611,"lo","lo","amas_learn",1.4
612,"lo","lo","amas_learn",1
613,"lo","hi","amas_learn",1
614,"lo","lo","amas_learn",1
615,"lo","hi","amas_learn",1.4
616,"lo","lo","amas_learn",1
617,"hi","lo","amas_learn",3
618,"lo","lo","amas_learn",1
619,"lo","hi","amas_learn",1.2
620,"hi","lo","amas_learn",4.8
621,"lo","hi","amas_learn",1
622,"hi","hi","amas_learn",2.4
625,"lo","lo","amas_learn",1
626,"hi","hi","amas_learn",2.8
627,"hi","lo","amas_learn",2.2
628,"hi","lo","amas_learn",1.6
629,"hi","hi","amas_learn",2.8
630,"hi","hi","amas_learn",3.6
631,"hi","hi","amas_learn",3.4
632,"hi","lo","amas_learn",3
633,"lo","hi","amas_learn",1
634,"hi","hi","amas_learn",2.8
635,"lo","hi","amas_learn",1
636,"hi","hi","amas_learn",3.2
637,"hi","lo","amas_learn",2.4
638,"lo","hi","amas_learn",1.2
640,"lo","lo","amas_learn",1
641,"lo","lo","amas_learn",1.6
642,"hi","hi","amas_learn",1.8
643,"lo","lo","amas_learn",1
644,"hi","lo","amas_learn",2.6
645,"lo","lo","amas_learn",1
646,"lo","lo","amas_learn",1.4
647,"hi","lo","amas_learn",1.8
648,"hi","lo","amas_learn",2.8
649,"hi","hi","amas_learn",1.4
650,"lo","lo","amas_learn",1
651,"lo","lo","amas_learn",1
652,"hi","lo","amas_learn",1.6
653,"lo","hi","amas_learn",1
654,"lo","hi","amas_learn",1
655,"lo","lo","amas_learn",1
602,"hi","lo","amas_eval",3.75
603,"hi","hi","amas_eval",3
604,"hi","hi","amas_eval",3.5
605,"lo","lo","amas_eval",2.5
606,"lo","hi","amas_eval",2.25
607,"hi","lo","amas_eval",3.75
608,"hi","lo","amas_eval",3.75
609,"hi","hi","amas_eval",3.75
610,"lo","lo","amas_eval",2.5
611,"lo","lo","amas_eval",2.25
612,"lo","lo","amas_eval",1.25
613,"lo","hi","amas_eval",1
614,"lo","lo","amas_eval",1.75
615,"lo","hi","amas_eval",3
616,"lo","lo","amas_eval",1.5
617,"hi","lo","amas_eval",5
618,"lo","lo","amas_eval",2
619,"lo","hi","amas_eval",1
620,"hi","lo","amas_eval",4.75
621,"lo","hi","amas_eval",3
622,"hi","hi","amas_eval",4.25
625,"lo","lo","amas_eval",3.25
626,"hi","hi","amas_eval",3
627,"hi","lo","amas_eval",4.25
628,"hi","lo","amas_eval",3.25
629,"hi","hi","amas_eval",3
630,"hi","hi","amas_eval",4.5
631,"hi","hi","amas_eval",4
632,"hi","lo","amas_eval",3
633,"lo","hi","amas_eval",1.25
634,"hi","hi","amas_eval",3.25
635,"lo","hi","amas_eval",1
636,"hi","hi","amas_eval",4
637,"hi","lo","amas_eval",4.25
638,"lo","hi","amas_eval",2.25
640,"lo","lo","amas_eval",3.5
641,"lo","lo","amas_eval",2.25
642,"hi","hi","amas_eval",3.75
643,"lo","lo","amas_eval",2.5
644,"hi","lo","amas_eval",4.5
645,"lo","lo","amas_eval",2
646,"lo","lo","amas_eval",2.5
647,"hi","lo","amas_eval",5
648,"hi","lo","amas_eval",3.25
649,"hi","hi","amas_eval",4.5
650,"lo","lo","amas_eval",2.5
651,"lo","lo","amas_eval",1.5
652,"hi","lo","amas_eval",3.5
653,"lo","hi","amas_eval",1.25
654,"lo","hi","amas_eval",2.75
655,"lo","lo","amas_eval",2.5
602,"hi","lo","amas",3
603,"hi","hi","amas",3
604,"hi","hi","amas",2.66666666666667
605,"lo","lo","amas",1.66666666666667
606,"lo","hi","amas",1.88888888888889
607,"hi","lo","amas",2.88888888888889
608,"hi","lo","amas",3.22222222222222
609,"hi","hi","amas",3.55555555555556
610,"lo","lo","amas",1.66666666666667
611,"lo","lo","amas",1.77777777777778
612,"lo","lo","amas",1.11111111111111
613,"lo","hi","amas",1
614,"lo","lo","amas",1.33333333333333
615,"lo","hi","amas",2.11111111111111
616,"lo","lo","amas",1.22222222222222
617,"hi","lo","amas",3.88888888888889
618,"lo","lo","amas",1.44444444444444
619,"lo","hi","amas",1.11111111111111
620,"hi","lo","amas",4.77777777777778
621,"lo","hi","amas",1.88888888888889
622,"hi","hi","amas",3.22222222222222
625,"lo","lo","amas",2
626,"hi","hi","amas",2.88888888888889
627,"hi","lo","amas",3.11111111111111
628,"hi","lo","amas",2.33333333333333
629,"hi","hi","amas",2.88888888888889
630,"hi","hi","amas",4
631,"hi","hi","amas",3.66666666666667
632,"hi","lo","amas",3
633,"lo","hi","amas",1.11111111111111
634,"hi","hi","amas",3
635,"lo","hi","amas",1
636,"hi","hi","amas",3.55555555555556
637,"hi","lo","amas",3.22222222222222
638,"lo","hi","amas",1.66666666666667
640,"lo","lo","amas",2.11111111111111
641,"lo","lo","amas",1.88888888888889
642,"hi","hi","amas",2.66666666666667
643,"lo","lo","amas",1.66666666666667
644,"hi","lo","amas",3.44444444444444
645,"lo","lo","amas",1.44444444444444
646,"lo","lo","amas",1.88888888888889
647,"hi","lo","amas",3.22222222222222
648,"hi","lo","amas",3
649,"hi","hi","amas",2.77777777777778
650,"lo","lo","amas",1.66666666666667
651,"lo","lo","amas",1.22222222222222
652,"hi","lo","amas",2.44444444444444
653,"lo","hi","amas",1.11111111111111
654,"lo","hi","amas",1.77777777777778
655,"lo","lo","amas",1.66666666666667
602,"hi","lo","bis_ATT",1.75
603,"hi","hi","bis_ATT",2.75
604,"hi","hi","bis_ATT",2.625
605,"lo","lo","bis_ATT",1.875
606,"lo","hi","bis_ATT",2.125
607,"hi","lo","bis_ATT",2
608,"hi","lo","bis_ATT",1.75
609,"hi","hi","bis_ATT",2.625
610,"lo","lo","bis_ATT",2.125
611,"lo","lo","bis_ATT",1.625
612,"lo","lo","bis_ATT",1.875
613,"lo","hi","bis_ATT",2.25
614,"lo","lo","bis_ATT",1.875
615,"lo","hi","bis_ATT",3
616,"lo","lo","bis_ATT",2.25
617,"hi","lo","bis_ATT",2.125
618,"lo","lo","bis_ATT",1.375
619,"lo","hi","bis_ATT",2.875
620,"hi","lo","bis_ATT",2.25
621,"lo","hi","bis_ATT",1.625
622,"hi","hi","bis_ATT",2.625
625,"lo","lo","bis_ATT",1.875
626,"hi","hi","bis_ATT",2.25
627,"hi","lo","bis_ATT",1.625
628,"hi","lo","bis_ATT",1.5
629,"hi","hi","bis_ATT",2
630,"hi","hi","bis_ATT",2.375
631,"hi","hi","bis_ATT",2.5
632,"hi","lo","bis_ATT",1.75
633,"lo","hi","bis_ATT",1.75
634,"hi","hi","bis_ATT",2.75
635,"lo","hi","bis_ATT",2.75
636,"hi","hi","bis_ATT",2.5
637,"hi","lo","bis_ATT",2.375
638,"lo","hi","bis_ATT",2.375
640,"lo","lo","bis_ATT",2.125
641,"lo","lo","bis_ATT",2.125
642,"hi","hi","bis_ATT",2.125
643,"lo","lo","bis_ATT",1.5
644,"hi","lo","bis_ATT",1.25
645,"lo","lo","bis_ATT",1.75
646,"lo","lo","bis_ATT",1.75
647,"hi","lo","bis_ATT",2.25
648,"hi","lo","bis_ATT",1.5
649,"hi","hi","bis_ATT",2.125
650,"lo","lo","bis_ATT",1.5
651,"lo","lo","bis_ATT",1.5
652,"hi","lo","bis_ATT",2.25
653,"lo","hi","bis_ATT",2.875
654,"lo","hi","bis_ATT",2.375
655,"lo","lo","bis_ATT",2
602,"hi","lo","bis_MTR",1.54545454545455
603,"hi","hi","bis_MTR",2.45454545454545
604,"hi","hi","bis_MTR",1.72727272727273
605,"lo","lo","bis_MTR",1.54545454545455
606,"lo","hi","bis_MTR",1.90909090909091
607,"hi","lo","bis_MTR",1.72727272727273
608,"hi","lo","bis_MTR",1.72727272727273
609,"hi","hi","bis_MTR",2.45454545454545
610,"lo","lo","bis_MTR",1.27272727272727
611,"lo","lo","bis_MTR",1.54545454545455
612,"lo","lo","bis_MTR",2
613,"lo","hi","bis_MTR",2.09090909090909
614,"lo","lo","bis_MTR",1.81818181818182
615,"lo","hi","bis_MTR",2.18181818181818
616,"lo","lo","bis_MTR",2
617,"hi","lo","bis_MTR",1.72727272727273
618,"lo","lo","bis_MTR",1.63636363636364
619,"lo","hi","bis_MTR",1.90909090909091
620,"hi","lo","bis_MTR",1.45454545454545
621,"lo","hi","bis_MTR",2.36363636363636
622,"hi","hi","bis_MTR",2.36363636363636
625,"lo","lo","bis_MTR",1.54545454545455
626,"hi","hi","bis_MTR",2.09090909090909
627,"hi","lo","bis_MTR",1.45454545454545
628,"hi","lo","bis_MTR",1.90909090909091
629,"hi","hi","bis_MTR",2.18181818181818
630,"hi","hi","bis_MTR",2
631,"hi","hi","bis_MTR",2.36363636363636
632,"hi","lo","bis_MTR",1.27272727272727
633,"lo","hi","bis_MTR",1.54545454545455
634,"hi","hi","bis_MTR",2.27272727272727
635,"lo","hi","bis_MTR",2.90909090909091
636,"hi","hi","bis_MTR",2.09090909090909
637,"hi","lo","bis_MTR",1.54545454545455
638,"lo","hi","bis_MTR",2.18181818181818
640,"lo","lo","bis_MTR",1.63636363636364
641,"lo","lo","bis_MTR",2.09090909090909
642,"hi","hi","bis_MTR",2
643,"lo","lo","bis_MTR",1.72727272727273
644,"hi","lo","bis_MTR",1.36363636363636
645,"lo","lo","bis_MTR",1.90909090909091
646,"lo","lo","bis_MTR",1.54545454545455
647,"hi","lo","bis_MTR",2.18181818181818
648,"hi","lo","bis_MTR",1.36363636363636
649,"hi","hi","bis_MTR",2.09090909090909
650,"lo","lo","bis_MTR",1.36363636363636
651,"lo","lo","bis_MTR",1.81818181818182
652,"hi","lo","bis_MTR",1.72727272727273
653,"lo","hi","bis_MTR",2.27272727272727
654,"lo","hi","bis_MTR",2.09090909090909
655,"lo","lo","bis_MTR",1.54545454545455
602,"hi","lo","bis_NPL",1.54545454545455
603,"hi","hi","bis_NPL",2.27272727272727
604,"hi","hi","bis_NPL",2.18181818181818
605,"lo","lo","bis_NPL",2.27272727272727
606,"lo","hi","bis_NPL",2.45454545454545
607,"hi","lo","bis_NPL",2.27272727272727
608,"hi","lo","bis_NPL",2.45454545454545
609,"hi","hi","bis_NPL",2.27272727272727
610,"lo","lo","bis_NPL",2.09090909090909
611,"lo","lo","bis_NPL",2
612,"lo","lo","bis_NPL",2.18181818181818
613,"lo","hi","bis_NPL",2.72727272727273
614,"lo","lo","bis_NPL",1.63636363636364
615,"lo","hi","bis_NPL",1.45454545454545
616,"lo","lo","bis_NPL",2.09090909090909
617,"hi","lo","bis_NPL",1.90909090909091
618,"lo","lo","bis_NPL",2.09090909090909
619,"lo","hi","bis_NPL",2.45454545454545
620,"hi","lo","bis_NPL",2.18181818181818
621,"lo","hi","bis_NPL",2.72727272727273
622,"hi","hi","bis_NPL",2.45454545454545
625,"lo","lo","bis_NPL",2.36363636363636
626,"hi","hi","bis_NPL",2.72727272727273
627,"hi","lo","bis_NPL",2
628,"hi","lo","bis_NPL",2.18181818181818
629,"hi","hi","bis_NPL",2.81818181818182
630,"hi","hi","bis_NPL",2.45454545454545
631,"hi","hi","bis_NPL",2.81818181818182
632,"hi","lo","bis_NPL",3.18181818181818
633,"lo","hi","bis_NPL",3
634,"hi","hi","bis_NPL",2.72727272727273
635,"lo","hi","bis_NPL",2.27272727272727
636,"hi","hi","bis_NPL",2
637,"hi","lo","bis_NPL",1.90909090909091
638,"lo","hi","bis_NPL",2.18181818181818
640,"lo","lo","bis_NPL",2.36363636363636
641,"lo","lo","bis_NPL",2.09090909090909
642,"hi","hi","bis_NPL",2.54545454545455
643,"lo","lo","bis_NPL",1.81818181818182
644,"hi","lo","bis_NPL",1.45454545454545
645,"lo","lo","bis_NPL",2.54545454545455
646,"lo","lo","bis_NPL",2.18181818181818
647,"hi","lo","bis_NPL",1.45454545454545
648,"hi","lo","bis_NPL",2.45454545454545
649,"hi","hi","bis_NPL",2.72727272727273
650,"lo","lo","bis_NPL",2
651,"lo","lo","bis_NPL",1.18181818181818
652,"hi","lo","bis_NPL",2.27272727272727
653,"lo","hi","bis_NPL",2.54545454545455
654,"lo","hi","bis_NPL",2.36363636363636
655,"lo","lo","bis_NPL",1.54545454545455
602,"hi","lo","bis",1.6
603,"hi","hi","bis",2.46666666666667
604,"hi","hi","bis",2.13333333333333
605,"lo","lo","bis",1.9
